id,grupo,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,presionMax,presionMedia,cuTop10,cuGini,accesoBasicoPct,accesoMedioPct,accesoAvanzadoPct,conDemandaPct,excluidosBasicoPct,capacityUtilizadaPct,corrCuDemanda,corrCuAcceso,corrCuPatrimonio,distributablePerUser,escasezCapacidades
A-patrimonio-1,A-patrimonio,1872,989,883,52.83,11,7.42,16.03,36,0,43,57,100,2,163.08,0.36,0.75,,0.11,"programacion×5.6, reparacion×10.7, asesoria-juridica×6.4, diseno×5.4, mediacion×9.3, investigacion×7.2, fabricacion×9.3, soporte-tecnico×6.2, salud-y-cuidado×11.0"
A-patrimonio-100,A-patrimonio,1872,989,883,52.83,11,7.42,16.03,36,0,43,57,100,2,163.08,0.36,0.75,,10.6,"programacion×5.6, reparacion×10.7, asesoria-juridica×6.4, diseno×5.4, mediacion×9.3, investigacion×7.2, fabricacion×9.3, soporte-tecnico×6.2, salud-y-cuidado×11.0"
A-patrimonio-1000,A-patrimonio,1911,1082,829,56.62,9.34,6.37,14.24,28,0,29.5,70.5,100,1,207.52,0.26,0.66,,106,"programacion×4.3, reparacion×8.6, asesoria-juridica×5.8, diseno×4.7, mediacion×8.2, investigacion×7.0, fabricacion×7.7, soporte-tecnico×5.7, salud-y-cuidado×9.3"
A-patrimonio-20000,A-patrimonio,1826,1819,7,99.62,0.52,0.52,10.87,8,0,4.5,95.5,100,0.5,731.42,0.46,0.51,,2120,"—"
B-dist-uniforme,B-distribucion,1911,1082,829,56.62,9.34,6.37,14.24,28,0,29.5,70.5,100,1,207.52,0.26,0.66,,106,"programacion×4.3, reparacion×8.6, asesoria-juridica×5.8, diseno×4.7, mediacion×8.2, investigacion×7.0, fabricacion×7.7, soporte-tecnico×5.7, salud-y-cuidado×9.3"
B-dist-desigual,B-distribucion,1806,1008,798,55.81,9.48,6.31,14.77,31,0,34,66,100,1.5,192.28,0.35,0.7,-0.05,106,"programacion×5.1, reparacion×9.5, asesoria-juridica×5.9, diseno×4.6, mediacion×7.5, investigacion×6.5, fabricacion×6.9, soporte-tecnico×5.7, salud-y-cuidado×9.0"
B-dist-concentrada,B-distribucion,1848,986,862,53.35,10.69,7.06,15.36,33,0,39.5,60.5,100,1.5,164.08,0.37,0.73,0.12,106,"programacion×5.7, reparacion×10.7, asesoria-juridica×6.4, diseno×5.4, mediacion×8.1, investigacion×7.2, fabricacion×8.4, soporte-tecnico×5.9, salud-y-cuidado×10.1"
C-dem-baja,C-demanda,461,351,110,76.14,1.67,0.91,16.88,37,0,45.5,54.5,89.5,8,153.95,-0.02,0.67,,106,"—"
C-dem-estable,C-demanda,1911,1082,829,56.62,9.34,6.37,14.24,28,0,29.5,70.5,100,1,207.52,0.26,0.66,,106,"programacion×4.3, reparacion×8.6, asesoria-juridica×5.8, diseno×4.7, mediacion×8.2, investigacion×7.0, fabricacion×7.7, soporte-tecnico×5.7, salud-y-cuidado×9.3"
C-dem-creciente,C-demanda,2749,1555,1194,56.57,14.62,9.44,15.55,34,0,33.5,66.5,100,1,204.46,0.58,0.69,,106,"programacion×6.7, reparacion×10.9, asesoria-juridica×7.8, diseno×7.3, mediacion×11.4, investigacion×10.9, traduccion×4.0, fabricacion×11.7, soporte-tecnico×9.1, salud-y-cuidado×14.6"
