cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0.13,0,0.24,0,0,0.69,0,0.88,98,81,17,82.65,0,200,0,0.19
3,0,0.49,0.4,0,0.24,0,0.14,0.42,0.18,1.75,138,113,25,81.88,0,200,0,0.26
4,0,0.65,0.67,0.1,0.37,0.15,0.13,0.13,0.18,2.03,193,161,32,83.42,0,194,6,0.34
5,0.2,0.9,0.78,0.2,1.04,0.46,0.24,0.68,0,2.84,244,189,55,77.46,0,192,8,0.39
6,0.38,1.31,1.05,0.53,1.59,0.41,0.39,1.11,0.18,2.87,298,221,77,74.16,0,189,11,0.45
7,0.78,1.86,1.17,0.52,1.77,0.77,0.39,1.52,0.18,2.98,342,251,91,73.39,0,193,7,0.49
8,0.88,2.51,1.44,0.94,1.57,0.79,0.53,1.39,0.18,3.48,393,285,108,72.52,0,187,13,0.53
9,0.99,2.86,1.48,1.38,2.04,1.33,0.61,1.19,0.3,4.01,444,314,130,70.72,0,181,19,0.55
10,1.1,2.46,1.64,1.53,2.18,1.35,0.63,1.75,0.55,4.65,491,346,145,70.47,0,183,17,0.49
11,1.28,3.22,2.02,1.6,2.09,2.24,0.9,1.8,0.85,4.49,547,378,169,69.1,0,179,21,0.52
12,1.37,2.96,1.99,1.94,2.55,2.84,0.98,2.14,1.15,4.54,602,411,191,68.27,0,172,28,0.53
13,1.44,3.53,2.35,1.89,3.19,2.96,0.92,2.31,1.37,4.7,643,433,210,67.34,0,169,31,0.55
14,1.82,3.86,2.75,2.12,3.16,2.7,1.11,2.3,1.69,4.77,685,465,220,67.88,0,174,26,0.56
15,2.32,3.41,2.47,2.16,3.37,2.47,1.16,2.32,2.02,5.22,725,491,234,67.72,0,163,37,0.46
16,1.94,3.51,2.41,2.63,3.77,2.96,1.32,2.62,2.23,5.1,770,513,257,66.62,0,156,44,0.48
17,2.12,3.82,2.79,2.66,4.25,3.32,1.23,2.79,2.54,5.12,818,538,280,65.77,0,158,42,0.5
18,2.33,3.96,3.21,2.76,4.24,3.42,1.35,3.36,2.22,6.26,861,563,298,65.39,0,156,44,0.51
19,2.79,4.05,3.11,2.47,4.66,3.71,1.49,3.75,2.8,5.06,898,582,316,64.81,0,147,53,0.53
20,2.68,4.29,3.27,2.75,4.64,3.72,1.46,3.45,2.84,6.61,952,607,345,63.76,0,141,59,0.42
21,3.07,5.32,3.64,2.68,4.76,3.86,1.55,4.14,2.98,5.86,996,628,368,63.05,0,137,63,0.45
22,2.79,6.17,3.63,2.78,4.78,3.54,1.68,4.34,3.57,6.27,1041,648,393,62.25,0,132,68,0.47
23,3.1,5.55,3.61,3.17,5.27,3.85,1.91,4.27,3.94,6.01,1093,674,419,61.67,0,126,74,0.49
24,3.57,6.51,3.93,3.42,6.25,4.4,2.13,5.25,3.8,6.8,1143,691,452,60.45,0,138,62,0.5
25,3.32,7.53,4.08,3.41,5.63,4.4,2.04,5.31,3.79,6.61,1186,709,477,59.78,0,123,77,0.39
26,3.55,8.02,4.36,3.42,6.4,4.18,2.39,5.31,4.06,7.76,1233,731,502,59.29,0,127,73,0.42
27,3.66,7.26,4.07,3.34,6.6,4.78,2.27,5.32,4.06,7.4,1286,757,529,58.86,0,112,88,0.44
28,3.9,8.04,4.58,3.71,6.36,5.25,2.39,5.9,4.51,7.52,1338,783,555,58.52,0,115,85,0.46
29,4.52,8.18,4.84,3.74,7.19,5.4,2.53,5.89,4.59,8.03,1378,799,579,57.98,0,120,80,0.48
30,4.38,7.93,4.79,3.95,7.32,5.48,2.49,6.52,4.85,8.51,1419,814,605,57.36,0,116,84,0.37
31,4.64,8.08,4.84,4.48,7.69,4.98,2.68,6.23,5.19,9.39,1469,834,635,56.77,0,111,89,0.41
32,4.76,9.28,5.23,4.29,8.12,5.38,2.55,7.04,5,8.64,1501,849,652,56.56,0,114,86,0.43
33,4.8,8.15,5.4,4.35,7.63,6.06,2.84,7.75,5.39,9.74,1548,869,679,56.14,0,112,88,0.45
34,4.55,8.26,5.37,4.52,7.7,5.95,2.67,7.43,5.26,9.2,1590,886,704,55.72,0,95,105,0.47
35,5.19,9.11,5.76,4.74,8.17,6.08,2.89,8.03,5.2,9.78,1638,903,735,55.13,0,100,100,0.36
36,5.03,8.97,6,4.68,8.58,6.47,2.86,7.91,5.83,9.7,1683,922,761,54.78,0,97,103,0.4
37,5.06,9.59,5.97,4.77,9.45,7.04,2.86,7.92,5.9,10.05,1724,934,790,54.18,0,94,106,0.42
38,5.67,10.24,6.16,5.09,8.85,6.75,2.86,8.71,5.77,10.14,1774,953,821,53.72,0,91,109,0.44
39,5.37,10.44,6.13,5.34,9.02,6.94,2.95,8.76,5.88,10.57,1820,970,850,53.3,0,86,114,0.46
40,5.63,10.73,6.38,5.42,9.29,7.2,3.05,9.26,6.22,11,1872,989,883,52.83,0,86,114,0.36
