cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0.13,0,0.24,0,0,0.69,0,0.88,98,81,17,82.65,0,200,0,0.19
3,0,0.49,0.4,0,0.24,0,0.14,0.42,0.18,1.75,138,113,25,81.88,0,200,0,0.26
4,0,0.65,0.67,0.1,0.37,0.15,0.13,0.13,0.18,2.03,193,161,32,83.42,0,194,6,0.34
5,0.2,0.9,0.78,0.2,1.04,0.46,0.24,0.68,0,2.84,244,189,55,77.46,0,192,8,0.39
6,0.38,1.31,1.05,0.53,1.59,0.41,0.39,1.11,0.18,2.87,298,221,77,74.16,0,189,11,0.45
7,0.78,1.86,1.17,0.52,1.77,0.77,0.39,1.52,0.18,2.98,342,251,91,73.39,0,193,7,0.49
8,0.88,2.51,1.44,0.94,1.57,0.79,0.53,1.39,0.18,3.48,393,285,108,72.52,0,187,13,0.53
9,0.99,2.86,1.48,1.38,2.04,1.33,0.61,1.19,0.3,4.01,444,314,130,70.72,0,181,19,0.55
10,1.1,2.46,1.64,1.53,2.18,1.35,0.63,1.75,0.55,4.65,491,346,145,70.47,0,183,17,0.49
11,1.28,3.22,2.02,1.6,2.09,2.24,0.9,1.8,0.85,4.49,547,378,169,69.1,0,179,21,0.52
12,1.37,2.96,1.99,1.94,2.55,2.84,0.98,2.14,1.15,4.54,602,411,191,68.27,0,172,28,0.53
13,1.44,3.53,2.35,1.89,3.19,2.96,0.92,2.31,1.37,4.7,643,433,210,67.34,0,169,31,0.55
14,1.82,3.86,2.75,2.12,3.16,2.7,1.11,2.3,1.69,4.77,685,465,220,67.88,0,174,26,0.56
15,2.32,3.41,2.47,2.16,3.37,2.47,1.16,2.32,2.02,5.22,725,491,234,67.72,0,163,37,0.46
16,1.94,3.51,2.41,2.63,3.67,2.96,1.32,2.62,2.23,5.1,770,514,256,66.75,0,156,44,0.48
17,2.12,3.82,2.79,2.66,4.15,3.32,1.23,2.79,2.54,5.12,818,539,279,65.89,0,158,42,0.5
18,2.28,3.81,3.11,2.65,4.05,3.5,1.49,3.29,2.46,5.51,861,565,296,65.62,0,155,45,0.51
19,2.59,3.99,3.12,2.84,4.48,3.69,1.4,3.7,2.62,5.4,899,583,316,64.85,0,148,52,0.52
20,2.53,4.39,3.34,2.63,4.86,3.21,1.45,4.28,2.81,5.85,948,606,342,63.92,0,140,60,0.42
21,3.07,4.92,3.65,2.74,4.17,3.35,1.48,4.4,3.06,5.73,991,624,367,62.97,0,137,63,0.44
22,3.14,5.57,3.77,2.76,4.7,3.73,1.45,4.24,3.33,6.72,1037,646,391,62.3,0,130,70,0.47
23,3.48,5.42,3.76,2.88,4.96,3.27,1.66,3.9,3.25,6.64,1088,672,416,61.76,0,121,79,0.48
24,3.71,6.38,3.97,3.29,6.23,4.01,2.05,4.37,3.66,7.14,1138,693,445,60.9,0,137,63,0.49
25,3.62,7.32,4.14,3.12,5.63,4.06,1.88,4.7,3.84,7.01,1183,713,470,60.27,0,121,79,0.38
26,3.8,7.54,4.35,3.46,6.05,4.45,2.19,4.89,3.62,7.64,1233,732,501,59.37,0,126,74,0.41
27,3.64,7.83,4.37,3.42,6.15,4.6,2.02,5.15,3.58,7.59,1289,759,530,58.88,0,112,88,0.43
28,4.14,8.31,4.5,3.78,6.45,5.04,2.21,5.07,4.22,7.31,1337,783,554,58.56,0,113,87,0.45
29,4.37,8.02,4.91,3.81,6.77,5.26,2.19,5.59,4.19,8.21,1376,800,576,58.14,0,114,86,0.47
30,4.65,8.93,5.04,3.53,7.75,5.8,2.29,5.84,4.82,9.37,1416,816,600,57.63,0,116,84,0.36
31,4.71,8.64,5.38,3.91,7.07,5.33,2.22,5.68,4.94,9.02,1463,838,625,57.28,0,108,92,0.39
32,4.83,8.2,5.23,4.01,7.21,5.83,2.21,6.03,4.97,7.93,1491,848,643,56.87,0,101,99,0.42
33,4.6,8.71,5.62,4.29,7.02,6.34,2.34,6.13,5.29,8.8,1538,868,670,56.44,0,104,96,0.43
34,4.81,9.48,5.62,4.67,6.96,6.6,2.31,6.54,5.06,8.64,1585,887,698,55.96,0,98,102,0.45
35,5.55,9.61,5.72,4.71,7.44,6.17,2.59,7.28,5.31,9.34,1631,906,725,55.55,0,97,103,0.35
36,5.03,9.27,5.87,4.84,7.35,6.5,2.55,6.97,5.99,9.52,1673,921,752,55.05,0,91,109,0.38
37,5.24,9.83,5.87,4.77,7.48,6.68,2.55,7.27,5.96,9.31,1713,935,778,54.58,0,85,115,0.4
38,5.36,10.34,6.12,5.09,7.81,6.84,2.45,7.87,5.93,9.88,1758,951,807,54.1,0,85,115,0.42
39,5.41,10.5,6.13,5.26,7.82,6.94,2.54,7.98,5.8,9.64,1798,968,830,53.84,0,79,121,0.44
40,5.72,10.69,6.38,5.42,8.09,7.2,2.63,8.39,5.91,10.13,1848,986,862,53.35,0,79,121,0.33
