cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0.13,0,0.12,0,0,0.69,0,0.88,98,82,16,83.67,0,200,0,0.19
3,0,0.49,0.4,0,0.12,0,0.14,0.42,0.18,1.75,138,114,24,82.61,0,200,0,0.26
4,0,0.65,0.67,0.1,0.24,0.15,0.13,0.13,0.18,2.03,193,162,31,83.94,0,194,6,0.34
5,0.2,0.9,0.78,0.2,0.93,0.46,0.24,0.68,0,2.84,244,190,54,77.87,0,192,8,0.39
6,0.38,1.31,1.05,0.53,1.47,0.41,0.39,1.11,0.18,2.87,298,222,76,74.5,0,189,11,0.45
7,0.78,1.86,1.17,0.52,1.65,0.77,0.39,1.52,0.18,2.98,342,252,90,73.68,0,193,7,0.49
8,0.88,2.51,1.44,0.94,1.46,0.79,0.53,1.39,0.18,3.48,393,286,107,72.77,0,187,13,0.53
9,0.99,2.7,1.48,1.38,1.92,1.33,0.61,1.07,0.3,4.01,444,317,127,71.4,0,181,19,0.56
10,1.13,2.49,1.61,1.44,2.15,1.32,0.61,1.69,0.52,3.91,491,351,140,71.49,0,182,18,0.49
11,1.43,2.55,1.55,1.6,2.43,2,0.77,1.8,0.68,5.01,545,386,159,70.83,0,181,19,0.52
12,1.48,2.69,2.1,1.69,2.72,2.2,0.86,1.85,0.94,4.88,598,420,178,70.23,0,172,28,0.54
13,1.54,2.52,2.43,1.65,3.12,2.06,0.89,2.06,1.13,4.37,633,443,190,69.98,0,169,31,0.55
14,1.74,2.89,2.22,2.14,3.38,2.21,1.01,2,1.27,5.01,675,473,202,70.07,0,173,27,0.57
15,1.88,2.89,2.29,1.97,3.47,2.45,1.11,1.88,1.66,4.59,718,502,216,69.92,0,161,39,0.46
16,1.96,3.55,2.71,2.22,3.27,2.87,0.99,1.94,1.7,4.79,758,523,235,69,0,157,43,0.49
17,2.31,3.34,2.49,2.38,4.27,3.17,0.93,2.54,1.73,5.05,806,549,257,68.11,0,157,43,0.51
18,2.33,3.42,2.96,2.57,3.88,3.22,1.12,2.64,2.12,5.38,845,576,269,68.17,0,155,45,0.52
19,2.77,3.35,2.94,2.57,4.01,3.03,1.23,3.16,1.9,5.6,882,596,286,67.57,0,148,52,0.53
20,2.47,4.03,3.19,2.79,4.04,2.91,1.28,3.45,2.38,5.13,933,620,313,66.45,0,139,61,0.43
21,2.47,4.19,3.51,2.56,4.47,3.18,1.29,4.1,2.38,6.79,973,638,335,65.57,0,136,64,0.45
22,2.72,4.43,3.39,2.67,4.18,3.22,1.44,3.52,2.59,6.45,1017,664,353,65.29,0,129,71,0.47
23,2.72,4.29,3.62,2.83,4.7,3.65,1.48,3.84,2.8,5.81,1069,693,376,64.83,0,119,81,0.49
24,3.42,5.9,3.76,3.19,5.54,3.72,1.62,3.35,3.2,6.82,1114,713,401,64,0,134,66,0.5
25,3.27,5.96,3.72,3.12,5.35,4.29,1.6,3.96,3.42,5.91,1158,735,423,63.47,0,122,78,0.38
26,3.31,6.77,3.8,3.37,5.9,4.31,1.79,3.9,3.1,6.39,1202,751,451,62.48,0,121,79,0.41
27,3.62,6.82,4.1,3.26,6.09,4.7,1.81,3.99,3.2,5.86,1249,774,475,61.97,0,113,87,0.43
28,3.71,6.81,4.27,3.36,6.12,5.46,1.88,4,3.69,6.53,1300,799,501,61.46,0,110,90,0.45
29,3.87,7.43,4.28,3.24,6.55,4.92,1.94,4.23,3.82,7.07,1338,815,523,60.91,0,108,92,0.46
30,4.25,7.93,4.84,3.43,6.85,5.34,2.01,4.55,4.6,7.9,1378,832,546,60.38,0,117,83,0.35
31,4.2,7.47,4.52,3.49,6.86,5.19,1.96,5.05,4.51,7.87,1428,856,572,59.94,0,100,100,0.38
32,4.38,7.38,4.56,3.47,6.5,5.42,1.88,5.11,4.19,7.87,1453,864,589,59.46,0,95,105,0.41
33,4.55,8.15,4.75,3.82,6.68,5.77,2.15,5.63,4.21,8.7,1498,882,616,58.88,0,98,102,0.43
34,4.64,8.15,5.2,4.06,6.34,5.91,2.24,5.99,4.57,8.19,1537,901,636,58.62,0,94,106,0.44
35,4.71,8.09,5.44,4.2,6.81,6.67,2.14,5.53,4.95,8.46,1582,919,663,58.09,0,92,108,0.33
36,5.03,8.25,5.46,4.17,6.77,6.4,2.41,6.38,4.76,9.24,1628,939,689,57.68,0,92,108,0.36
37,4.85,8.85,5.54,4.26,7.06,6.69,2.2,6.16,5.42,8.83,1672,954,718,57.06,0,82,118,0.39
38,5.19,9.35,5.74,4.45,7.43,6.72,2.25,6.27,5.73,8.61,1717,970,747,56.49,0,80,120,0.41
39,5.06,9.14,5.72,4.51,7.34,6.52,2.29,6.57,5.41,8.67,1760,991,769,56.31,0,71,129,0.42
40,5.13,9.48,5.9,4.58,7.53,6.55,2.38,6.87,5.65,8.98,1806,1008,798,55.81,0,68,132,0.31
