cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0.13,0,0.24,0,0,0.69,0,0.88,98,81,17,82.65,0,200,0,0.19
3,0,0.49,0.27,0,0.24,0,0.14,0.42,0.18,1.75,138,114,24,82.61,0,200,0,0.26
4,0,0.65,0.54,0.1,0.37,0.15,0.13,0.13,0.18,2.03,193,162,31,83.94,0,194,6,0.34
5,0.19,0.74,0.6,0.21,1.06,0.42,0.27,0.55,0,2.73,244,192,52,78.69,0,192,8,0.4
6,0.29,1.3,0.75,0.42,1.41,0.28,0.27,0.63,0.17,2.68,299,235,64,78.6,0,189,11,0.45
7,0.51,1.53,1.08,0.39,1.58,0.59,0.36,1.22,0.37,2.86,344,266,78,77.33,0,191,9,0.49
8,0.55,2.33,1.3,0.61,1.64,0.54,0.37,1.34,0.52,3,393,300,93,76.34,0,184,16,0.53
9,0.66,2.4,1.47,0.66,2.17,1.05,0.52,1.3,0.88,3.89,447,331,116,74.05,0,180,20,0.55
10,0.77,2.38,1.64,1.09,2.2,1.09,0.52,1.71,1.03,4.57,500,365,135,73,0,179,21,0.48
11,1.02,3.24,1.97,1.13,2.41,1.99,0.49,1.84,1.32,4.89,554,394,160,71.12,0,176,24,0.5
12,1.05,3.35,2.09,1.22,2.64,2.07,0.66,2.08,1.48,4.1,608,434,174,71.38,0,171,29,0.53
13,1.16,3.38,2.17,1.24,2.9,2.29,0.59,2.47,1.55,4.12,648,458,190,70.68,0,168,32,0.54
14,1.39,3.89,2.31,1.74,3.47,2.91,0.82,2.59,1.78,5.41,697,489,208,70.16,0,178,22,0.56
15,1.36,3.85,2.44,1.69,3.23,2.69,1.1,2.41,1.98,4.45,741,521,220,70.31,0,166,34,0.44
16,1.38,3.55,2.71,2.06,2.94,3.14,1.08,1.93,2.3,4.14,784,546,238,69.64,0,147,53,0.47
17,1.58,3.72,2.67,2.34,3.5,3.55,1.21,2.88,2.74,4.81,825,571,254,69.21,0,160,40,0.49
18,1.63,3.6,3.08,2.14,3.3,3.4,1.22,2.96,2.85,5.16,867,596,271,68.74,0,147,53,0.5
19,1.6,3.73,3.39,2.25,3.28,3.49,1.33,3.48,3.26,5.41,908,624,284,68.72,0,152,48,0.51
20,2.15,4.95,3.57,2.34,4.28,3.55,1.56,4.57,3.55,5.98,1013,665,348,65.65,0,142,58,0.41
21,2.49,5.32,3.61,2.82,5.23,4.22,1.62,4.81,3.78,7.21,1126,718,408,63.77,0,131,69,0.44
22,3.04,7.01,3.79,3.02,5.8,4.3,1.81,6.04,4.12,7.18,1243,774,469,62.27,0,128,72,0.47
23,3.56,8.46,4.45,3.1,6.06,4.48,2.1,6.39,4.86,8.55,1337,824,513,61.63,0,132,68,0.49
24,3.18,7.45,4.79,3.29,6.59,5.9,2.37,5.82,5.26,8.68,1442,878,564,60.89,0,121,79,0.5
25,3.91,8.13,5.1,3.82,7.61,5.95,2.46,6.64,5.27,8.21,1543,938,605,60.79,0,120,80,0.39
26,4.5,8.79,5.6,3.9,9.04,6.4,2.54,6.56,5.46,10.43,1658,995,663,60.01,0,122,78,0.43
27,4.72,9.78,5.99,4.32,9.09,5.96,3,7.02,5.83,11.12,1753,1051,702,59.95,0,122,78,0.46
28,4.66,9.28,5.99,4.42,8.7,6.55,2.93,6.64,5.56,10.72,1838,1104,734,60.07,0,108,92,0.47
29,4.79,9.69,5.9,4.77,9.09,6.67,2.89,6.57,5.32,11.6,1938,1163,775,60.01,0,93,107,0.49
30,5.44,10.5,6.67,5.57,8.96,7.41,3.08,6.77,5.82,12.14,2045,1227,818,60,0,99,101,0.37
31,5.67,10.99,6.71,5.53,9.76,8.43,3.28,7.96,5.97,12.32,2158,1284,874,59.5,0,95,105,0.41
32,6.22,10.98,7.3,6.22,9.13,8.25,3.36,8.32,6.04,13.11,2274,1342,932,59.01,0,89,111,0.45
33,7.06,10.72,7.93,6.66,10.41,9.17,3.39,8.68,5.77,13.79,2375,1396,979,58.78,0,89,111,0.46
34,7.07,10.59,8.07,6.79,10.64,8.96,3.68,9.06,6.41,13.9,2473,1452,1021,58.71,0,86,114,0.48
35,6.73,10.83,8.19,7.04,10.13,9.35,3.64,10.04,6.62,14.6,2569,1508,1061,58.7,0,77,123,0.36
36,7.01,10.51,8.37,7.52,11.04,9.74,4.03,10.64,7.09,14.91,2682,1571,1111,58.58,0,80,120,0.4
37,7.09,11.29,8.27,7.57,11.62,9.52,4.35,10.65,7.2,15.7,2790,1631,1159,58.46,0,73,127,0.43
38,7.21,11.47,8.3,7.82,11.45,10.27,4.36,10.93,7.55,15.5,2892,1693,1199,58.54,0,68,132,0.45
39,7.3,12.48,8.41,8.09,12.19,10.51,4.58,11.41,7.85,16.77,2998,1747,1251,58.27,0,69,131,0.46
40,7.61,12.21,8.71,8.39,12.02,10.66,4.59,11.65,8.34,17.35,3101,1802,1299,58.11,0,63,137,0.34
