cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0,0,0,0.52,0,0,0,19.95,48,6,42,12.5,0,200,0,0.07
2,0,0.54,0,0,0.41,0.52,0,0.46,0,39.91,99,13,86,13.13,0,200,0,0.13
3,0,0.54,0,0,0,0.52,0,0.92,0,53.05,139,26,113,18.71,0,200,0,0.17
4,0,0.54,0,0,0,0.52,0,0.46,0.61,77.87,205,41,164,20,0,200,0,0.22
5,0.35,0.54,0,0,0.41,0.52,0,0,0,92.47,251,57,194,22.71,0,200,0,0.28
6,0.35,0.54,0,0,0.41,0.52,0,0,0,110.47,301,70,231,23.26,0,199,1,0.33
7,0.7,0.54,0,0,0.81,0.52,0,0,0,124.59,348,86,262,24.71,0,200,0,0.38
8,0.35,0.54,0,0,0.79,0.52,0,0,0,133.86,392,104,288,26.53,0,198,2,0.43
9,0.35,1.09,0,0,0.81,0.52,0,0,0,145.51,428,123,305,28.74,0,199,1,0.49
10,0.35,1.63,0,0,1.15,0.52,0,0,0,152.33,464,143,321,30.82,0,196,4,0.55
11,0.35,1.63,0,0,1.56,0.52,0,0,0,163.03,506,162,344,32.02,0,197,3,0.61
12,0.34,1.63,0,0,1.56,0.5,0,0,0,170.33,540,181,359,33.52,0,195,5,0.65
13,0.34,1.63,0,0,1.52,0.52,0,0,0,177.63,575,201,374,34.96,0,194,6,0.64
14,0.35,2.17,0,0,1.58,0.52,0,0,0,188.83,618,220,398,35.6,0,196,4,0.67
15,0.35,2.17,0,0,1.58,0.52,0,0.45,0,195.64,650,237,413,36.46,0,197,3,0.67
16,0.34,2.17,0,0,1.48,0.5,0,0.43,0,196.77,684,257,427,37.57,0,193,7,0.68
17,0.34,2.17,0,0,0.78,0.52,0,0.4,0,208.29,712,275,437,38.62,0,193,7,0.69
18,0.34,2.71,0,0,0.39,0.52,0,0.43,0,216.08,746,293,453,39.28,0,195,5,0.72
19,0.35,2.71,0,0,0.77,0.52,0,0.45,0,221.92,774,308,466,39.79,0,195,5,0.74
20,0.34,2.71,0,0,1.11,0.5,0,0.39,0,230.2,806,322,484,39.95,0,190,10,0.73
21,0.34,2.71,0,0,1.15,0.49,0,0.4,0,234.58,832,339,493,40.75,0,192,8,0.74
22,0.34,2.71,0,0,1.07,0.52,0,0.39,0,233.19,858,354,504,41.26,0,189,11,0.77
23,0.34,3.26,0,0,1.08,0.5,0,0.44,0,246.26,885,367,518,41.47,0,192,8,0.77
24,0.35,3.26,0,0,1.12,0.93,0,0.43,0,245.76,916,381,535,41.59,0,191,9,0.78
25,0.34,3.8,0,0,1.47,0.48,0,0.4,0,252.35,946,396,550,41.86,0,187,13,0.77
26,0.33,3.8,0,0,1.43,0.49,0,0.41,0,255.9,968,413,555,42.67,0,190,10,0.78
27,0.34,3.8,0,0,1.1,0.45,0,0.41,0,255.57,997,426,571,42.73,0,188,12,0.8
28,0.34,3.8,0,0,0.68,0.45,0,0.4,0,263.35,1028,441,587,42.9,0,185,15,0.81
29,0.33,3.8,0,0,0.68,0.48,0,0.4,0,278.6,1056,455,601,43.09,0,185,15,0.82
30,0.33,3.8,0,0,0.99,0.45,0,0.39,0,275.26,1084,470,614,43.36,0,184,16,0.81
31,0.33,3.8,0,0,0.68,0.47,0,0.4,0,268.39,1106,482,624,43.58,0,183,17,0.82
32,0.33,3.8,0,0,0.68,0.89,0,0.41,0,271.89,1127,494,633,43.83,0,181,19,0.83
33,0.33,3.8,0,0,0.64,0.86,0,0.41,0,274.96,1145,505,640,44.1,0,180,20,0.83
34,0.33,4.34,0,0,0.66,0.9,0,0.4,0,298.37,1171,515,656,43.98,0,180,20,0.84
35,0.32,4.89,0,0,0.67,0.88,0,0.76,0,285.05,1191,525,666,44.08,0,180,20,0.82
36,0.33,4.34,0,0,0.66,0.88,0,0.74,0,288.56,1211,538,673,44.43,0,178,22,0.82
37,0.32,4.89,0,0,0.64,0.86,0,0.75,0,293.38,1234,549,685,44.49,0,176,24,0.83
38,0.32,4.89,0,0,0.66,0.84,0,0.78,0,298.21,1256,560,696,44.59,0,177,23,0.83
39,0.32,4.89,0,0,0.66,0.84,0,0.74,0,301.72,1276,572,704,44.83,0,176,24,0.84
40,0.31,4.89,0,0,0.64,0.84,0,0.37,0,302.59,1286,581,705,45.18,0,174,26,0.82
