cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0,0,0,0,0,0,0,0,47,47,0,100,0,200,0,0.1
2,0.1,0,0.07,0,0,0,0,0,0,0.07,97,93,4,95.88,0,200,0,0.18
3,0.1,0.16,0.07,0.05,0,0,0,0.07,0,0.42,137,124,13,90.51,0,199,1,0.26
4,0.15,0.24,0.13,0.05,0.06,0.08,0.07,0.13,0.09,0.41,191,170,21,89.01,0,195,5,0.34
5,0.19,0.38,0.2,0.1,0.23,0.15,0.13,0.13,0.18,0.33,250,219,31,87.6,0,190,10,0.39
6,0.27,0.48,0.33,0.21,0.49,0.2,0.19,0.26,0.35,0.34,307,258,49,84.04,0,188,12,0.44
7,0.31,0.78,0.43,0.21,0.57,0.35,0.25,0.25,0.46,0.47,348,286,62,82.18,0,186,14,0.49
8,0.33,0.82,0.54,0.26,0.61,0.57,0.25,0.25,0.48,0.49,394,319,75,80.96,0,176,24,0.53
9,0.35,0.93,0.61,0.4,0.83,0.69,0.32,0.32,0.65,0.55,440,347,93,78.86,0,175,25,0.55
10,0.4,0.94,0.76,0.57,1.14,0.76,0.31,0.45,0.84,0.71,491,374,117,76.17,0,170,30,0.46
11,0.54,1.32,0.81,0.52,1.19,1.25,0.38,0.57,0.99,1.12,541,399,142,73.75,0,171,29,0.49
12,0.6,1.49,0.82,0.56,1.33,1.22,0.53,0.81,1.22,1.32,598,431,167,72.07,0,168,32,0.52
13,0.7,1.48,0.91,0.56,1.78,1.33,0.47,0.98,1.25,1.68,641,455,186,70.98,0,169,31,0.53
14,0.79,1.64,0.99,0.78,1.72,1.56,0.56,1.15,1.38,1.49,681,473,208,69.46,0,162,38,0.55
15,0.88,1.56,0.99,0.8,1.88,1.6,0.56,1.03,1.41,1.65,719,494,225,68.71,0,157,43,0.43
16,1.07,1.76,0.99,0.91,1.89,1.61,0.61,1.29,1.49,1.97,765,513,252,67.06,0,153,47,0.45
17,0.99,2.01,1.07,0.96,1.8,1.65,0.65,1.44,1.88,2.07,806,534,272,66.25,0,147,53,0.48
18,1.09,2.17,1.19,1.03,2.26,1.68,0.75,1.48,1.64,2.3,847,556,291,65.64,0,148,52,0.5
19,1.21,2.44,1.31,1.12,2.13,1.83,0.74,1.67,1.98,2.23,884,573,311,64.82,0,149,51,0.51
20,1.35,2.65,1.39,1.06,2.33,1.94,0.69,1.81,2.15,2.64,943,594,349,62.99,0,141,59,0.39
21,1.53,2.81,1.49,1.13,2.37,1.81,0.74,1.99,2.3,3.47,984,607,377,61.69,0,139,61,0.42
22,1.52,2.91,1.7,1.26,2.24,1.79,0.83,2.02,2.38,3.23,1030,629,401,61.07,0,129,71,0.45
23,1.63,2.95,1.73,1.34,2.5,1.89,0.81,1.92,2.43,2.79,1082,655,427,60.54,0,116,84,0.47
24,1.81,3.06,1.71,1.37,2.8,1.93,0.81,2.13,2.62,3.7,1128,676,452,59.93,0,123,77,0.48
25,1.68,3.77,1.87,1.52,2.8,2.2,0.92,2.77,2.14,3.29,1167,692,475,59.3,0,123,77,0.36
26,2.05,3.47,1.8,1.46,3.01,2.06,0.81,2.66,2.45,3.48,1216,711,505,58.47,0,111,89,0.39
27,1.97,3.84,2.07,1.64,3.27,2.32,0.95,2.59,2.76,3.71,1271,740,531,58.22,0,120,80,0.42
28,1.97,4.5,2.12,1.64,3.39,2.61,1.03,2.7,2.76,4.08,1316,755,561,57.37,0,117,83,0.44
29,2.12,4.93,2.14,1.69,3.79,2.42,1.03,2.76,2.82,4.37,1355,772,583,56.97,0,123,77,0.46
30,2.22,4.41,2.2,1.74,3.39,2.57,1.04,2.79,2.73,4.16,1400,784,616,56,0,100,100,0.33
31,2.35,4.77,2.4,1.81,3.41,2.51,1.03,3.25,3.12,4.78,1437,799,638,55.6,0,109,91,0.36
32,2.19,4.75,2.48,1.82,3.49,2.76,1.11,2.71,2.8,4.57,1481,813,668,54.9,0,92,108,0.39
33,2.39,5.18,2.62,1.94,3.95,2.59,1.13,2.84,2.87,5.07,1530,835,695,54.58,0,92,108,0.42
34,2.26,4.94,2.82,1.99,3.83,2.52,1.21,3.12,2.92,4.79,1577,857,720,54.34,0,88,112,0.44
35,2.22,5.05,2.69,2.11,3.94,2.92,1.23,3.03,3.24,5.21,1615,874,741,54.12,0,88,112,0.3
36,2.28,5.55,2.9,2.08,4.1,3.21,1.21,2.99,3.06,5.07,1661,895,766,53.88,0,85,115,0.34
37,2.44,5.47,2.98,2.11,4.03,2.84,1.25,3.16,3.18,5.35,1714,916,798,53.44,0,77,123,0.37
38,2.42,5.51,3.03,2.12,4.07,2.96,1.23,3.27,2.97,5.11,1763,940,823,53.32,0,67,133,0.4
39,2.43,5.77,3.11,2.16,4.24,3.23,1.26,3.58,3.14,5.58,1819,965,854,53.05,0,70,130,0.41
40,2.45,5.78,3.26,2.26,4.29,3.27,1.33,3.51,3.19,5.45,1874,989,885,52.77,0,62,138,0.28
