cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,13.02,0,0,0,0,0,0,0,0.1,47,43,4,91.49,0,200,0,0.1
2,0,34.71,0,0,0,0,0,0.3,0,0.42,96,81,15,84.38,0,200,0,0.18
3,0.07,43.38,0.1,0,0,0,0,0.29,0,1.01,134,109,25,81.34,0,198,2,0.26
4,0.07,52.06,0.29,0.07,0.17,0.11,0,0.3,0.13,1.46,191,153,38,80.1,0,196,4,0.34
5,0.28,60.74,0.46,0.08,0.49,0.54,0,0.49,0.13,1.49,243,187,56,76.95,0,193,7,0.39
6,0.41,65.08,0.53,0.15,0.8,0.55,0,0.83,0.24,1.51,298,227,71,76.17,0,189,11,0.44
7,0.64,73.75,0.77,0.23,1.04,0.73,0,1.1,0.39,1.28,342,258,84,75.44,0,193,7,0.49
8,0.65,99.79,0.95,0.37,1.19,0.81,0,1.12,0.37,1.4,386,284,102,73.58,0,186,14,0.52
9,0.69,104.12,1.16,0.61,1.43,0.92,0.09,1.1,0.53,1.86,442,318,124,71.95,0,179,21,0.55
10,0.66,108.46,1.25,0.84,1.59,1.21,0.17,1.32,0.73,2.25,493,350,143,70.99,0,180,20,0.49
11,0.77,58.57,1.22,0.95,2.03,1.72,0.17,1.32,0.95,2.49,544,383,161,70.4,0,181,19,0.52
12,0.77,117.14,1.42,1.12,2.17,2.04,0.26,1.43,1.15,2.4,597,415,182,69.51,0,172,28,0.54
13,0.87,108.46,1.43,1.12,2.69,2.11,0.26,1.87,1.19,2.64,634,435,199,68.61,0,166,34,0.55
14,1.18,117.14,1.53,1.29,2.61,2.08,0.36,2.18,1.57,3.23,681,465,216,68.28,0,179,21,0.56
15,1.11,108.46,1.55,1.46,2.69,2.1,0.55,1.71,1.7,3.05,721,495,226,68.65,0,164,36,0.46
16,1.13,108.46,1.85,1.43,2.79,2.57,0.57,2.1,1.86,2.62,766,519,247,67.75,0,152,48,0.48
17,1.41,108.46,1.91,1.66,3.31,2.8,0.62,2.38,1.86,2.97,813,545,268,67.04,0,159,41,0.5
18,1.45,108.46,2,1.74,2.88,3.19,0.58,2.28,2.1,3.8,852,572,280,67.14,0,157,43,0.52
19,1.5,104.12,2.16,1.68,3.27,2.96,0.76,2.71,2.29,3.79,886,590,296,66.59,0,153,47,0.53
20,1.54,60.74,2.06,1.59,3.51,3.46,0.78,3.18,2.52,4.35,938,614,324,65.46,0,149,51,0.43
21,1.54,125.82,2.22,1.73,3.37,3.06,0.92,2.92,2.65,4,981,637,344,64.93,0,137,63,0.45
22,2.03,117.14,2.21,1.58,3.42,3.35,0.92,3.18,2.32,3.98,1026,664,362,64.72,0,130,70,0.47
23,2.16,65.08,2.53,1.69,3.48,3.32,1.2,3.2,2.42,4.09,1079,695,384,64.41,0,126,74,0.49
24,2.27,151.85,2.58,2,4.42,3.46,1.14,3.32,2.71,4.45,1130,720,410,63.72,0,137,63,0.51
25,2.34,80.26,2.83,1.94,3.92,3.54,1.22,3.38,2.88,4.3,1171,742,429,63.36,0,125,75,0.39
26,2.26,82.43,2.89,1.92,4.69,3.6,1.23,3.57,2.85,4.48,1217,763,454,62.7,0,120,80,0.42
27,2.37,80.26,2.75,1.92,5.31,3.51,1.43,3.89,3.02,4.54,1272,794,478,62.42,0,119,81,0.45
28,2.36,78.09,2.8,2.02,5.25,3.83,1.37,3.76,3.47,4.93,1321,822,499,62.23,0,111,89,0.46
29,2.49,134.49,3.14,2.17,5.3,4.25,1.45,3.86,3.33,5.09,1353,834,519,61.64,0,110,90,0.48
30,2.82,143.17,3.24,2.33,5.18,4.75,1.41,4.09,3.24,5.77,1393,853,540,61.23,0,117,83,0.37
31,3.05,138.83,3.24,2.23,5.65,4.3,1.42,4.24,3.37,5.98,1441,875,566,60.72,0,104,96,0.4
32,2.92,65.08,3.17,2.31,5.3,4.49,1.31,4.07,3.67,5.86,1469,894,575,60.86,0,97,103,0.42
33,3.2,56.4,3.21,2.24,5.23,4.55,1.42,4.37,3.45,6.84,1512,924,588,61.11,0,99,101,0.44
34,3.16,60.74,3.55,2.52,5.5,4.46,1.53,4.18,3.43,6.38,1556,944,612,60.67,0,94,106,0.46
35,3.13,56.4,3.3,2.52,5.58,4.95,1.5,5.09,3.82,6.19,1600,967,633,60.44,0,92,108,0.35
36,3.05,54.23,3.68,2.65,5.45,5.07,1.57,4.68,4.04,6.51,1639,985,654,60.1,0,86,114,0.38
37,3.08,62.91,3.67,2.48,5.31,5.03,1.48,5,3.84,6.43,1675,1001,674,59.76,0,78,122,0.41
38,3.2,62.91,3.68,2.62,5.38,5.26,1.48,5.64,3.9,6.82,1719,1024,695,59.57,0,78,122,0.43
39,3.28,65.08,3.74,2.67,5.52,5.41,1.55,5.32,3.86,6.65,1762,1045,717,59.31,0,72,128,0.44
40,3.33,62.91,3.86,2.71,5.67,5.53,1.55,5.59,4.01,6.62,1810,1074,736,59.34,0,69,131,0.33
