cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.09
2,0,0.49,0,0,0.12,0.31,0.14,0.55,0,0.88,97,80,17,82.47,0,200,0,0.17
3,0,0.81,0,0,0.12,0.15,0.14,0.28,0,1.7,135,113,22,83.7,0,198,2,0.24
4,0,0.92,0,0.21,0.12,0.15,0.28,0.27,0,2.27,192,162,30,84.38,0,196,4,0.32
5,0,1.07,0,0.2,0.9,0.57,0.41,0.52,0,2.61,242,195,47,80.58,0,190,10,0.39
6,0.1,0.92,0.13,0.3,1.58,0.59,0.51,0.82,0.17,2.7,292,232,60,79.45,0,186,14,0.44
7,0.1,1.27,0.26,0.3,1.53,1.24,0.52,1.59,0.35,2.64,338,265,73,78.4,0,190,10,0.47
8,0.1,1.97,0.64,0.47,1.53,1.39,0.55,1.53,0.37,2.88,381,295,86,77.43,0,187,13,0.5
9,0.09,2.36,0.76,0.73,1.69,1.55,0.49,1.57,0.35,3.42,428,330,98,77.1,0,186,14,0.53
10,0.1,2.25,0.81,0.98,1.92,1.38,0.55,2.13,0.35,3.19,482,373,109,77.39,0,180,20,0.48
11,0.09,2.34,0.96,1.11,1.74,2.23,0.63,2.12,0.53,3.43,539,412,127,76.44,0,173,27,0.51
12,0.09,2.82,1.19,1.27,1.94,2.31,0.63,2.22,0.67,3.8,588,450,138,76.53,0,171,29,0.53
13,0.09,2.36,1.28,1.22,2.7,2.26,0.64,2.73,0.67,3.53,626,474,152,75.72,0,164,36,0.55
14,0.18,2.76,1.43,1.61,2.51,2.34,0.74,2.77,0.6,3.94,672,510,162,75.89,0,167,33,0.56
15,0.18,2.8,1.38,1.61,2.78,2.05,0.73,2.42,0.67,4.15,704,537,167,76.28,0,159,41,0.45
16,0.2,2.62,1.54,1.79,2.77,2.48,0.87,2.14,0.83,3.97,742,565,177,76.15,0,155,45,0.47
17,0.19,3.07,1.51,1.86,3.48,3.64,0.83,2.88,0.88,4.06,795,590,205,74.21,0,149,51,0.49
18,0.35,3.67,1.85,1.9,3.61,4.12,0.99,3.19,0.96,4.27,836,615,221,73.56,0,158,42,0.5
19,0.42,3.51,1.98,1.95,3.66,3.66,1.01,3.08,1.03,4.3,872,638,234,73.17,0,144,56,0.52
20,0.44,3.73,2.13,2.02,4.04,3.67,1.03,3.3,1.23,4.59,918,660,258,71.9,0,140,60,0.41
21,0.48,3.69,2.22,2.17,3.62,4.06,1.25,4.41,1.29,4.82,960,683,277,71.15,0,137,63,0.44
22,0.55,4.28,2.27,1.95,3.77,3.83,1.27,4.52,1.11,5.35,1002,708,294,70.66,0,127,73,0.46
23,0.61,4.48,2.39,2.04,4.16,4.01,1.43,4.42,1.21,4.77,1052,745,307,70.82,0,122,78,0.47
24,0.64,5.11,2.64,2.28,4.94,3.93,1.38,4.1,1.41,5.33,1097,772,325,70.37,0,126,74,0.49
25,0.69,5.03,2.77,2.39,4.48,3.94,1.56,4.94,1.43,5.83,1142,797,345,69.79,0,124,76,0.38
26,0.68,5.26,3.32,2.51,4.68,4.2,1.43,4.35,1.52,6.04,1181,817,364,69.18,0,118,82,0.41
27,0.71,5.89,3.35,2.45,5.37,4.28,1.51,4.16,1.55,5.9,1231,846,385,68.72,0,111,89,0.43
28,0.83,5.41,3.59,2.63,5.3,4.29,1.61,4.7,1.7,6.14,1276,875,401,68.57,0,107,93,0.45
29,0.85,6.23,3.58,2.55,5.56,4.7,1.69,4.71,1.6,7.19,1311,890,421,67.89,0,109,91,0.46
30,0.91,6.82,3.54,2.64,6.35,4.9,1.73,4.86,1.89,7.83,1357,909,448,66.99,0,112,88,0.36
31,0.93,6.73,4.02,2.91,6.08,4.97,1.76,5.55,1.81,7.43,1403,929,474,66.22,0,103,97,0.39
32,0.99,6.71,4.09,2.95,6.48,5.32,1.69,5.34,1.9,8.15,1430,946,484,66.15,0,105,95,0.42
33,0.97,7.73,4.21,3.11,6,6.07,1.74,5.7,1.84,8.06,1476,967,509,65.51,0,101,99,0.44
34,1.07,7.2,4.05,3.13,5.95,5.5,1.8,5.59,1.77,7.95,1518,988,530,65.09,0,82,118,0.45
35,1.2,7.26,4.21,3.43,6.17,5.57,1.91,6.28,1.91,8.06,1558,1009,549,64.76,0,89,111,0.35
36,1.14,8.04,4.4,3.3,6.61,5.66,1.98,6.26,1.9,8.52,1599,1031,568,64.48,0,82,118,0.38
37,1.12,8.1,4.4,3.34,6.4,6.05,2.1,6.3,1.9,8.2,1639,1053,586,64.25,0,80,120,0.4
38,1.24,8.46,4.45,3.48,6.46,5.85,1.98,6.88,2.02,8.35,1685,1075,610,63.8,0,76,124,0.42
39,1.16,8.58,4.38,3.62,6.65,5.93,2.07,6.85,2.02,8.51,1728,1099,629,63.6,0,70,130,0.44
40,1.16,8.49,4.54,3.69,6.85,6.1,2.16,7,2.14,8.74,1778,1135,643,63.84,0,70,130,0.33
