cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0.13,0,0.24,0,0,0.69,0,0.88,98,81,17,82.65,0,200,0,0.19
3,0,0.49,0.27,0,0.24,0,0.14,0.42,0.18,1.75,138,114,24,82.61,0,200,0,0.26
4,0,0.65,0.54,0.1,0.37,0.15,0.13,0.13,0.18,2.03,193,162,31,83.94,0,194,6,0.34
5,0.19,0.74,0.6,0.21,1.06,0.42,0.27,0.55,0,2.73,244,192,52,78.69,0,192,8,0.4
6,0.29,1.3,0.75,0.42,1.41,0.28,0.27,0.63,0.17,2.68,299,235,64,78.6,0,189,11,0.45
7,0.51,1.53,1.08,0.39,1.58,0.59,0.36,1.22,0.37,2.86,344,266,78,77.33,0,191,9,0.49
8,0.55,2.33,1.3,0.61,1.64,0.54,0.37,1.34,0.52,3,393,300,93,76.34,0,184,16,0.53
9,0.66,2.4,1.47,0.66,2.17,1.05,0.52,1.3,0.88,3.89,447,331,116,74.05,0,180,20,0.55
10,0.77,2.38,1.64,1.09,2.2,1.09,0.52,1.71,1.03,4.57,500,365,135,73,0,179,21,0.48
11,1.02,3.24,1.97,1.13,2.41,1.99,0.49,1.84,1.32,4.89,554,394,160,71.12,0,176,24,0.5
12,1.05,3.35,2.09,1.22,2.64,2.07,0.66,2.08,1.48,4.1,608,434,174,71.38,0,171,29,0.53
13,1.16,3.38,2.17,1.24,2.9,2.29,0.59,2.47,1.55,4.12,648,458,190,70.68,0,168,32,0.54
14,1.39,3.89,2.31,1.74,3.47,2.91,0.82,2.59,1.78,5.41,697,489,208,70.16,0,178,22,0.56
15,1.36,3.85,2.44,1.69,3.23,2.69,1.1,2.41,1.98,4.45,741,521,220,70.31,0,166,34,0.44
16,1.38,3.55,2.71,2.06,2.94,3.14,1.08,1.93,2.3,4.14,784,546,238,69.64,0,147,53,0.47
17,1.58,3.72,2.67,2.34,3.5,3.55,1.21,2.88,2.74,4.81,825,571,254,69.21,0,160,40,0.49
18,1.63,3.6,3.08,2.14,3.3,3.4,1.22,2.96,2.85,5.16,867,596,271,68.74,0,147,53,0.5
19,1.6,3.73,3.39,2.25,3.28,3.49,1.33,3.48,3.26,5.41,908,624,284,68.72,0,152,48,0.51
20,1.7,4.56,3.4,2.56,3.65,3.85,1.46,3.81,3.39,3.23,963,667,296,69.26,0,148,52,0.4
21,2.19,5.01,3.69,2.54,3.28,3.41,1.57,4.09,3.65,3.31,1005,692,313,68.86,0,141,59,0.43
22,2.61,4.78,3.21,2.5,3.87,3.81,1.58,4.54,3.54,3.32,1049,712,337,67.87,0,133,67,0.45
23,2.55,5.45,3.76,2.69,4.37,3.97,1.81,4.5,3.51,2.88,1097,739,358,67.37,0,131,69,0.47
24,2.86,6.88,3.97,2.68,4.95,3.83,1.91,4.59,4.03,2.95,1143,762,381,66.67,0,134,66,0.48
25,2.87,6.85,3.94,2.65,4.39,3.91,1.79,5.41,5.02,3.4,1188,788,400,66.33,0,130,70,0.37
26,2.83,7.44,4.2,3.02,5.34,4.64,2.03,5.45,4.12,3.04,1238,812,426,65.59,0,127,73,0.41
27,3.04,7.32,4.18,3.23,5.88,4.11,1.93,4.9,4.18,3.05,1294,846,448,65.38,0,116,84,0.43
28,3.21,7.71,3.98,3.47,5.74,4.76,2.16,5.58,4.48,3.21,1338,874,464,65.32,0,118,82,0.45
29,3.24,7.1,4.44,3.32,6.33,4.89,2.09,5.93,4.09,3.07,1374,892,482,64.92,0,114,86,0.46
30,3.69,7.95,4.09,3.27,6.26,4.92,2.2,5.5,4.7,2.96,1414,911,503,64.43,0,106,94,0.36
31,3.85,7.57,4.2,3.32,6.01,5.12,2.28,6.16,4.81,3.2,1461,939,522,64.27,0,104,96,0.39
32,3.82,8.01,4.09,3.38,5.89,5.76,2.18,6.11,5.12,2.88,1492,958,534,64.21,0,99,101,0.41
33,3.74,8.01,4.9,3.57,5.95,5.5,2.16,6.41,5.03,2.85,1540,983,557,63.83,0,94,106,0.43
34,3.83,8.35,4.58,3.78,6.19,5.79,2.25,7.06,5.1,2.92,1582,1005,577,63.53,0,94,106,0.45
35,4.14,9.07,4.64,4.04,6.09,5.97,2.25,7.14,5.02,3.08,1630,1031,599,63.25,0,89,111,0.34
36,4.09,9.67,4.59,3.97,6.5,6.06,2.46,6.99,5.08,2.84,1675,1054,621,62.93,0,84,116,0.37
37,4.04,9.18,4.85,4.01,6.57,6.23,2.53,7.15,5.4,2.73,1723,1078,645,62.57,0,77,123,0.4
38,4.22,9.87,5.14,4.1,6.79,6.41,2.38,7.55,5.4,2.81,1777,1106,671,62.24,0,76,124,0.42
39,4.27,9.13,5.03,4.41,6.85,6.54,2.47,7.86,5.4,2.85,1823,1140,683,62.53,0,74,126,0.44
40,4.33,9.85,5.08,4.47,7.05,6.59,2.65,7.88,5.61,2.81,1877,1169,708,62.28,0,70,130,0.32
