cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0.19,0,0,0.3,0,0,0,0,0.54,43,36,7,83.72,20,180,0,0.07
2,0.12,0.56,0.12,0,0.6,0.35,0,0.73,0.17,0.94,94,70,24,74.47,20,180,0,0.15
3,0.24,1.11,0.12,0,0.6,0.18,0.16,0.29,0.17,1.07,127,101,26,79.53,20,180,0,0.21
4,0.35,1.53,0.34,0.32,1.21,0.48,0.32,0.14,0.32,1.91,188,139,49,73.94,20,175,5,0.28
5,0.44,1.48,0.33,0.34,1.81,0.7,0.32,0.29,0.34,2.15,225,168,57,74.67,20,175,5,0.34
6,1,1.41,0.32,0.57,1.68,1.02,0.49,0.27,0.33,2.14,275,209,66,76,20,170,10,0.41
7,0.89,1.61,0.54,0.34,1.74,1.49,0.6,0.9,0.62,2.72,320,237,83,74.06,20,170,10,0.45
8,1.02,1.48,0.66,0.33,1.68,1.16,0.74,0.92,0.91,2.79,360,273,87,75.83,20,167,13,0.49
9,1.02,2.3,0.89,0.58,1.24,1.29,0.93,1.13,0.96,2.68,401,308,93,76.81,20,169,11,0.51
10,1.07,1.86,1.14,0.56,1.47,2.14,1.06,1.02,1.06,2.56,450,342,108,76,20,159,21,0.49
11,1.06,1.76,1.19,0.61,2.11,2.32,0.98,1.44,1.27,2.42,488,367,121,75.2,20,152,28,0.51
12,1.27,2.13,1.41,0.55,2.23,2.54,1.09,1.79,1.33,2.76,528,393,135,74.43,20,153,27,0.53
13,1.52,2.1,1.39,0.67,2.93,3.02,1.38,2.19,1.76,3.22,579,419,160,72.37,20,156,24,0.55
14,1.55,1.79,1.57,0.7,3.54,2.92,1.27,2.96,1.9,3.81,616,442,174,71.75,20,151,29,0.57
15,1.7,2.18,1.7,0.8,3.69,3.31,1.74,3.09,2.29,3.19,657,470,187,71.54,20,155,25,0.46
16,1.75,2.23,1.67,1.09,2.92,3.11,1.74,3.33,2.51,3.09,698,502,196,71.92,20,144,36,0.48
17,1.88,1.86,1.93,0.87,3.46,3.96,1.78,3.06,2.58,2.97,740,528,212,71.35,20,132,48,0.5
18,2.26,2.32,1.94,1.07,3.66,3.83,1.83,3.34,2.51,3.42,780,549,231,70.38,20,135,45,0.52
19,2.21,2.66,2.12,1.24,3.5,4.17,1.9,3.61,2.95,3.49,814,574,240,70.52,20,134,46,0.53
20,2.37,2.56,2.22,1.02,3.16,3.9,2.03,3.48,3.1,4.03,851,599,252,70.39,20,124,56,0.42
21,2.41,2.98,2.31,1.23,3.54,4.31,2.18,4.41,2.99,3.95,896,611,285,68.19,20,119,61,0.45
22,2.58,3.33,2.42,1.4,3.79,3.94,2.07,4.78,2.84,4.28,935,631,304,67.49,20,118,62,0.47
23,2.64,3.88,2.27,1.29,3.64,4.33,2.49,4.61,3.16,4.61,972,651,321,66.98,20,111,69,0.48
24,3.21,4.06,2.74,1.53,4.37,4.29,2.57,4.79,3.19,4.79,1019,674,345,66.14,20,110,70,0.5
25,3.06,4.75,2.86,1.69,4.23,4.7,2.92,4.5,3.07,4.73,1060,697,363,65.75,20,107,73,0.39
26,3.32,4.73,2.99,1.58,4.71,4.72,2.42,5.45,3.87,5.12,1105,716,389,64.8,20,104,76,0.42
27,3.29,4.82,3.17,1.9,4.38,4.35,2.57,4.92,3.27,5.02,1138,733,405,64.41,20,89,91,0.44
28,3.45,4.87,2.92,1.94,5.22,5.01,2.56,4.72,3.7,5.26,1180,754,426,63.9,20,88,92,0.46
29,3.54,4.72,3.28,2.09,5.49,5.33,2.61,5.34,4.21,5.55,1229,781,448,63.55,20,93,87,0.48
30,3.63,5.38,3.3,2.05,5.66,5.09,2.76,5.31,4.21,6.68,1271,798,473,62.79,20,90,90,0.37
31,4.43,5.43,3.8,2.37,6.71,6.33,3.41,6.27,4.55,6.83,1314,812,502,61.8,20,105,75,0.4
32,4,5.97,3.25,2.3,6.12,5.23,3.07,6.17,4.1,6.6,1353,823,530,60.83,20,77,103,0.43
33,4.17,5.57,3.5,2.46,6.18,5.56,3.18,6.15,4.42,7.26,1386,845,541,60.97,20,84,96,0.45
34,3.93,6.34,3.72,2.48,6.38,5.64,3.11,5.7,4.42,7.42,1421,859,562,60.45,20,75,105,0.46
35,4.48,6.93,3.91,2.68,6.47,6.01,3.56,5.8,4.48,8.1,1469,875,594,59.56,20,77,103,0.34
36,4.44,6.8,3.7,2.97,6.58,6.4,3.4,6.27,4.49,7.44,1515,895,620,59.08,20,64,116,0.38
37,4.26,7.23,3.82,2.98,6.97,6.44,3.45,6.41,4.77,8.4,1557,917,640,58.9,20,65,115,0.4
38,4.16,7.15,3.85,3.01,7.02,6.58,3.78,6.35,4.66,8.1,1600,937,663,58.56,20,56,124,0.42
39,4.36,7.65,4.27,3.35,7.21,6.53,3.23,6.77,4.99,8.42,1642,954,688,58.1,20,55,125,0.44
40,4.48,7.57,4.12,3.26,7.61,6.72,3.23,6.6,4.75,8.69,1685,975,710,57.86,20,49,131,0.32
