cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0.5,0,0,0.17,0,0,0,0,0.48,39,33,6,84.62,50,150,0,0.07
2,0,0.76,0.15,0,0.52,0.37,0.18,0,0.51,0.64,78,62,16,79.49,50,150,0,0.14
3,0.27,1.45,0.15,0,0.52,0.56,0.17,0.91,0,0.92,123,96,27,78.05,50,148,2,0.21
4,0.28,1.76,0.31,0,0.52,0.37,0.18,0.88,0.25,1.61,158,125,33,79.11,50,149,1,0.28
5,0.52,1.93,0.61,0.16,1.02,0.37,0.18,0.69,0.51,1.99,206,161,45,78.16,50,147,3,0.34
6,0.65,2.42,0.57,0.31,1.84,0.9,0.36,0.83,0.23,2.24,251,191,60,76.1,50,141,9,0.39
7,0.96,2.42,0.61,0.75,2.14,0.9,0.32,0.9,0.24,2.32,294,225,69,76.53,50,140,10,0.45
8,1.05,3.48,0.69,0.28,2.1,0.82,0.36,1.23,0.42,2.2,330,256,74,77.58,50,136,14,0.5
9,1.21,3.92,0.85,0.62,2.21,0.71,0.49,0.89,0.43,2.68,369,285,84,77.24,50,133,17,0.54
10,1.2,4.08,1.05,0.72,2.43,0.69,0.49,0.78,0.93,2.58,404,312,92,77.23,50,132,18,0.49
11,1.34,3.21,1.33,1.13,2.09,1.47,0.46,0.8,1.39,2.66,449,344,105,76.61,50,121,29,0.53
12,1.48,2.93,1.31,1.08,2.67,1.76,0.58,0.74,1.28,3.16,481,370,111,76.92,50,124,26,0.54
13,1.68,3.24,1.6,1.26,2.94,2,0.55,0.81,1.76,3.23,519,392,127,75.53,50,121,29,0.57
14,1.68,3.47,1.95,1.44,3.25,2.1,0.95,1.23,1.67,3.5,557,419,138,75.22,50,127,23,0.58
15,2,2.97,1.92,1.33,3.69,1.72,0.85,1.39,1.87,3.51,588,439,149,74.66,50,114,36,0.48
16,1.97,3.83,2.13,1.63,3.37,2.66,1.13,2,2.03,3.58,628,468,160,74.52,50,125,25,0.51
17,2.48,3.79,2.31,1.58,2.96,2.07,1.02,1.7,2.24,3.68,664,492,172,74.1,50,109,41,0.53
18,2.45,4.07,2.47,1.59,3.65,3.13,1.17,1.78,2.55,3.57,699,512,187,73.25,50,109,41,0.54
19,2.86,4.66,2.26,2.04,3.79,3.49,0.94,2.45,3.1,3.75,742,531,211,71.56,50,102,48,0.56
20,3.1,4.07,2.59,2.21,3.6,3.37,1.12,2.6,2.73,3.77,779,555,224,71.25,50,98,52,0.46
21,2.79,3.75,2.36,1.98,4.12,3.41,1.2,3.1,2.98,4.3,808,573,235,70.92,50,95,55,0.49
22,3.26,5.11,2.71,2.51,3.79,3.88,1.21,3.64,2.93,4.47,847,597,250,70.48,50,99,51,0.51
23,2.75,4.75,2.66,2.17,3.61,4,1.48,3.98,3.64,4.67,887,620,267,69.9,50,87,63,0.53
24,3.66,5.12,2.94,2.61,3.97,3.99,1.43,3.86,3.79,4.84,921,638,283,69.27,50,94,56,0.54
25,3.42,5.45,3.07,2.27,4.27,3.9,1.55,4.06,4.25,4.79,956,659,297,68.93,50,87,63,0.44
26,3.99,5.3,3.13,2.5,4.76,3.97,1.42,4.22,3.96,4.63,1000,679,321,67.9,50,77,73,0.47
27,3.87,5.43,3.11,2.69,5.42,4.26,1.75,4.18,5.44,5.44,1041,695,346,66.76,50,77,73,0.49
28,4.36,7.01,3.56,2.8,4.73,4.11,1.57,4.58,4.43,5.92,1074,709,365,66.01,50,74,76,0.5
29,4.24,6.62,3.22,3.34,5.94,4.67,1.59,4.67,4.99,5.77,1114,725,389,65.08,50,73,77,0.52
30,4.51,7.18,3.92,3.11,6.31,4.95,1.93,5.25,4.66,5.72,1161,747,414,64.34,50,70,80,0.42
31,4.15,7.76,3.94,3.15,6.47,5.41,1.92,5.03,4.87,5.71,1206,771,435,63.93,50,61,89,0.45
32,4.49,7.98,4.44,3.07,6.73,5.81,1.79,5.65,5.12,5.99,1232,785,447,63.72,50,66,84,0.48
33,4.55,7.99,4.03,3.12,6.93,5.96,1.89,5.69,5.06,6.47,1264,797,467,63.05,50,60,90,0.49
34,4.44,7.88,4.11,3.39,6.97,5.81,1.92,5.68,5.58,7.22,1305,817,488,62.61,50,57,93,0.51
35,4.48,8.13,4.79,3.49,6.87,6.32,2,5.82,5.75,7.09,1329,829,500,62.38,50,57,93,0.4
36,4.63,8.01,4.39,3.49,6.66,6.24,1.92,6.04,5.66,7.52,1371,853,518,62.22,50,48,102,0.43
37,4.93,7.38,4.39,3.65,6.93,6.35,2.02,6.02,5.71,7.26,1408,872,536,61.93,50,42,108,0.46
38,4.79,7.52,4.61,3.74,6.93,6.25,2.17,6.08,5.54,7.92,1444,889,555,61.57,50,39,111,0.48
39,4.89,7.8,4.58,3.97,7.19,7.1,2.22,6.08,5.99,8.07,1478,906,572,61.3,50,38,112,0.49
40,4.76,8.22,4.76,3.92,7.37,6.99,2.13,6.27,6.14,8.2,1514,924,590,61.03,50,35,115,0.38
