cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,1.39,3.26,3.6,1.45,3.25,3.09,0,0.92,2.44,4.87,47,21,26,44.68,0,200,0,0.02
2,2.79,8.68,4.5,0.73,7.31,4.13,0,5.54,2.44,9.73,99,50,49,50.51,0,200,0,0.03
3,3.48,11.94,3.6,0.73,8.12,3.09,0.92,5.54,3.66,15.57,135,75,60,55.56,0,200,0,0.04
4,4.87,15.2,5.4,4.35,11.36,6.19,0.92,7.39,4.89,24.33,203,112,91,55.17,0,200,0,0.05
5,4.18,15.2,4.5,3.63,15.42,6.19,1.83,7.39,2.44,27.25,242,147,95,60.74,0,200,0,0.06
6,6.96,18.46,3.6,4.35,16.23,8.25,1.83,10.16,2.44,29.2,297,187,110,62.96,0,200,0,0.07
7,6.96,19.54,3.6,4.35,20.29,8.25,0.92,12.93,3.66,31.15,353,232,121,65.72,0,200,0,0.08
8,6.27,22.8,4.5,2.08,19.48,9.28,0.89,13.86,3.55,33.09,399,275,124,68.92,0,198,2,0.09
9,4.87,27.14,5.4,4.35,20.29,8.25,0.92,12.93,3.66,35.04,447,316,131,70.69,0,200,0,0.1
10,4.18,27.14,4.5,4.35,21.92,10.31,0.92,13.86,3.66,40.88,500,360,140,72,0,200,0,0.11
11,4.18,24.97,5.4,5.8,22.73,14.44,0.89,12.93,6.11,40.45,558,410,148,73.48,0,199,1,0.12
12,3.48,26.05,4.5,5.67,25.97,12.38,0,15.71,4.73,45.75,608,454,154,74.67,0,199,1,0.13
13,4.87,28.23,4.5,3.54,25.97,15.47,1.83,13.86,4.73,50.61,667,504,163,75.56,0,199,1,0.14
14,4.87,28.23,5.4,4.35,29.22,15.47,0.92,15.71,3.66,51.59,723,553,170,76.49,0,200,0,0.15
15,4.18,28.23,3.6,2.9,31.66,13.41,1.83,16.63,3.66,55.48,776,604,172,77.84,0,200,0,0.17
16,3.48,27.14,2.7,2.9,35.71,11.35,0.89,19.4,4.89,58.33,827,647,180,78.23,0,199,1,0.18
17,4.18,29.31,1.8,3.63,34.09,12.38,0.92,19.4,3.66,63.27,881,697,184,79.11,0,200,0,0.18
18,5.57,27.14,1.8,3.63,32.47,11.35,0.87,18.48,2.29,61.15,918,739,179,80.5,0,198,2,0.19
19,5.57,27.14,2.7,3.63,32.47,10.31,1.78,14.78,4.89,63.03,966,786,180,81.37,0,199,1,0.2
20,5.57,27.14,3.6,3.46,32.47,13.41,0,14.78,3.33,63.03,1011,830,181,82.1,0,196,4,0.21
21,4.87,28.23,3.6,2.18,34.9,15.47,0,16.63,4.57,67.16,1064,875,189,82.24,0,199,1,0.22
22,4.87,27.14,4.5,2.77,32.47,16.5,0,17.55,2.22,68.67,1111,920,191,82.81,0,196,4,0.24
23,4.87,27.14,4.5,2.08,31.3,12.38,0.85,15.71,3.55,70.56,1151,963,188,83.67,0,196,4,0.24
24,5.57,24.97,4.5,0.71,30.51,10.31,0,20.32,3.55,74.95,1195,1007,188,84.27,0,198,2,0.25
25,3.48,28.32,3.6,1.38,31.3,11.35,0,23.1,3.55,78.84,1249,1051,198,84.15,0,196,4,0.27
26,5.57,32.51,4.5,0,31.3,10.31,0,24.94,3.33,83.71,1307,1097,210,83.93,0,194,6,0.29
27,5.57,32.51,3.6,0.7,31.3,7.22,0,23.1,4.44,87.49,1352,1139,213,84.25,0,194,6,0.3
28,7.66,31.46,0.9,2.04,32.08,7.22,0.79,23.1,3.33,88.43,1400,1184,216,84.57,0,192,8,0.32
29,8.36,33.1,2.7,3.51,32.08,6.96,1.61,20.32,3.43,92.47,1456,1234,222,84.75,0,194,6,0.34
30,6.96,34.03,3.6,3.41,33.64,5.97,0.76,22.17,3.33,91.25,1506,1279,227,84.93,0,191,9,0.37
31,5.57,35.03,4.5,3.48,35.99,6.96,0.76,18.01,4.57,95.01,1555,1323,232,85.08,0,192,8,0.4
32,4.87,37.04,3.49,1.99,32.86,9.95,0,19.81,4.57,99.28,1603,1372,231,85.59,0,190,10,0.42
33,3.48,38.28,3.39,1.28,33.27,7.96,0,19.81,2.22,99.72,1643,1413,230,86,0,187,13,0.44
34,2.79,38.28,1.7,1.97,38.39,9.95,0.75,17.11,3.33,101.6,1688,1452,236,86.02,0,189,11,0.47
35,4.18,38.8,3.39,1.33,39.32,7.96,1.49,16.21,2.22,107.07,1738,1497,241,86.13,0,189,11,0.49
36,4.87,35.03,2.54,0.64,38.57,9.95,0,15.31,4.44,105.36,1783,1543,240,86.54,0,186,14,0.52
37,3.48,35.03,3.39,1.28,36.3,8.95,0,12.61,2.22,111.01,1818,1581,237,86.96,0,186,14,0.55
38,3.48,32.03,2.5,0.65,38.57,7.96,0,13.51,2.22,114.77,1855,1616,239,87.12,0,185,15,0.57
39,4.87,34.03,1.67,0,36.3,6.96,0.71,12.61,2.22,117.59,1892,1652,240,87.32,0,184,16,0.59
40,5.57,31.03,2.5,2.46,37.06,5.97,0,12.14,2.22,120.41,1932,1687,245,87.32,0,183,17,0.61
