cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0.68,0,0,0.48,0,0,0,0,0.54,32,26,6,81.25,80,120,0,0.05
2,0,1.35,0.16,0,0.71,0,0,0,0.34,1.36,69,55,14,79.71,80,120,0,0.14
3,0,1.69,0.3,0,0.71,0,0.22,0.23,0.67,2.17,103,81,22,78.64,80,119,1,0.23
4,0,2.5,0.32,0,0.48,0,0.22,0.22,0,2.72,129,105,24,81.4,80,118,2,0.31
5,0.63,2.36,0.32,0,1.19,0.23,0.22,0.22,0.32,3.8,169,133,36,78.7,80,117,3,0.42
6,0.42,2.36,0.32,0.14,0.83,0,0.22,0.21,0.67,4.38,196,159,37,81.12,80,114,6,0.48
7,0.21,3.38,0.43,0.26,1.43,0.23,0.21,0.43,1.01,5.16,227,179,48,78.85,80,112,8,0.54
8,0,3.81,0.39,0.41,1.72,0.22,0.22,0.62,1.59,4.48,260,204,56,78.46,80,106,14,0.59
9,0.17,3.92,0.52,0.41,1.43,0.41,0.19,1.26,0.91,4.45,282,223,59,79.08,80,106,14,0.62
10,0.21,3.57,0.56,0.56,1.51,0.42,0.42,0.76,1.2,5.16,304,243,61,79.93,80,107,13,0.61
11,0.18,3.46,0.56,0.69,1.44,0.53,0.56,0.8,1.43,5.37,332,266,66,80.12,80,104,16,0.63
12,0.32,2.74,0.86,0.72,1.39,1.04,0.59,0.87,1.66,5.41,366,293,73,80.05,80,95,25,0.64
13,0.44,3.85,0.8,0.91,2.11,0.99,0.52,1.12,2.13,4.98,394,310,84,78.68,80,95,25,0.66
14,0.73,4.1,0.92,0.84,2.52,1.79,0.55,1.37,2.44,5.97,426,328,98,77,80,97,23,0.67
15,0.71,3.78,1.22,1.1,3.1,1.53,0.55,1.48,2.9,5.98,459,351,108,76.47,80,95,25,0.61
16,0.62,4.68,1.02,1.23,3.31,1.3,0.61,1.9,2.8,5.98,481,370,111,76.92,80,94,26,0.63
17,0.58,3.83,1.05,1.34,2.66,1.55,0.76,1.57,2.97,5.36,511,392,119,76.71,80,82,38,0.65
18,0.8,3.19,1.14,1.41,3.33,1.68,0.87,2.19,2.71,6.55,532,408,124,76.69,80,87,33,0.66
19,1.11,3.31,1.19,1.43,3.13,1.89,1.13,2.37,3.27,4.93,559,426,133,76.21,80,80,40,0.67
20,1.54,2.76,1.39,1.61,2.98,2.37,0.99,2.67,3.32,6.17,578,436,142,75.43,80,81,39,0.58
21,1.49,3.64,1.38,1.63,3.62,2.84,0.92,3.08,4.04,5.16,608,449,159,73.85,80,74,46,0.6
22,1.35,4.25,1.57,1.66,3.38,2.52,1,3.71,4.44,6.18,636,469,167,73.74,80,75,45,0.62
23,1.65,4.39,1.68,1.68,3.58,2.77,1.15,3.32,4.04,6.44,660,483,177,73.18,80,74,46,0.64
24,1.73,5.75,1.65,1.98,4.28,3.05,1.21,3.12,5.09,6.73,685,496,189,72.41,80,76,44,0.65
25,2.32,5.64,1.86,1.76,3.64,3.19,1.23,3.31,4.8,6.31,716,514,202,71.79,80,69,51,0.56
26,2.33,5.77,2.1,2.04,4.69,2.77,1.13,3.8,5.33,7.52,744,531,213,71.37,80,72,48,0.59
27,2.12,5.89,1.9,1.95,4.29,2.92,1.34,4.11,4.64,6.48,766,543,223,70.89,80,59,61,0.61
28,3.01,5.47,1.95,1.82,5.36,3.02,1.3,4.17,5.43,8.53,798,559,239,70.05,80,62,58,0.62
29,2.72,6.56,2.07,1.97,4.42,3.36,1.45,3.94,5.6,6.46,823,572,251,69.5,80,54,66,0.64
30,2.78,6,1.84,2.26,4.9,3.31,1.42,4.42,5.85,7.2,843,582,261,69.04,80,53,67,0.55
31,2.9,6.45,2.07,2.31,4.63,3.44,1.46,4.69,5.51,7.18,867,594,273,68.51,80,51,69,0.57
32,3.1,7.33,2.17,2.24,5.57,4.06,1.55,4.74,5.69,9.54,899,606,293,67.41,80,55,65,0.59
33,2.95,8.53,2.17,2.24,5.49,4.04,1.68,5.03,5.96,7.53,931,624,307,67.02,80,45,75,0.61
34,3.4,7.46,2.19,2.29,5.65,4.2,1.63,5.29,6.36,7.53,966,647,319,66.98,80,42,78,0.62
35,3.32,7.83,2.51,2.59,5.97,4.34,1.63,5.81,6.36,8,990,660,330,66.67,80,44,76,0.53
36,3.41,8.68,2.61,2.54,6.33,4.33,1.53,6.01,6.59,10.59,1018,670,348,65.82,80,46,74,0.56
37,3.63,9.51,2.62,2.68,6.71,4.14,1.68,6.12,6.58,9.84,1047,679,368,64.85,80,40,80,0.58
38,3.83,9.51,2.51,2.54,6.21,4.1,1.63,6.35,6.79,10.81,1075,693,382,64.47,80,34,86,0.6
39,3.75,9.08,2.51,2.55,6.49,4.47,1.65,6.48,7,10.36,1089,700,389,64.28,80,32,88,0.61
40,3.97,9.08,2.68,2.59,6.32,4.7,1.73,6.62,7,10.67,1122,721,401,64.26,80,30,90,0.52
