cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0,0,0,0,0,0.55,0,0.88,98,85,13,86.73,0,200,0,0.2
3,0,0.49,0,0,0,0,0,0.28,0.18,1.67,136,118,18,86.76,0,199,1,0.28
4,0,0.6,0,0.11,0,0,0,0,0.18,2.19,193,171,22,88.6,0,194,6,0.35
5,0,0.73,0,0,0.57,0.14,0,0.27,0,2.62,244,212,32,86.89,0,189,11,0.41
6,0,0.88,0,0,0.94,0,0,0.42,0,2.92,297,260,37,87.54,0,188,12,0.45
7,0.1,1.35,0,0,0.74,0,0,0.8,0,2.74,343,300,43,87.46,0,186,14,0.49
8,0,1.6,0,0,0.32,0.14,0,0.6,0,2.62,388,347,41,89.43,0,175,25,0.52
9,0,1.59,0,0.1,0.57,0.38,0,0.13,0,3.04,438,391,47,89.27,0,174,26,0.54
10,0,1.59,0,0,0.79,0,0,0.43,0,2.99,486,438,48,90.12,0,165,35,0.46
11,0,1.75,0,0,0.74,0.4,0,0.25,0.14,2.99,532,481,51,90.41,0,164,36,0.48
12,0,1.86,0,0,1.03,0,0,0.34,0,2.94,584,533,51,91.27,0,162,38,0.49
13,0,1.5,0,0,1.14,0,0,0.54,0,3.07,624,568,56,91.03,0,156,44,0.5
14,0,1.35,0,0,0.64,0,0,0.76,0,2.63,664,614,50,92.47,0,152,48,0.5
15,0,0.82,0,0,0.49,0,0,0.32,0,2.99,706,667,39,94.48,0,161,39,0.36
16,0,1.08,0,0,0.37,0.12,0,0.22,0,2.52,754,715,39,94.83,0,139,61,0.38
17,0,0.86,0,0,0,0.24,0,0.11,0,2.83,795,760,35,95.6,0,135,65,0.4
18,0,0.72,0,0,0,0,0,0.28,0,2.15,825,794,31,96.24,0,123,77,0.41
19,0,0.76,0,0,0,0,0,0.4,0,2.66,871,835,36,95.87,0,119,81,0.42
20,0,0.77,0,0,0,0,0,0.28,0,2.9,915,878,37,95.96,0,115,85,0.27
21,0,0.54,0,0,0,0,0,0.28,0,2.59,956,923,33,96.55,0,109,91,0.3
22,0,0.8,0,0,0.07,0,0,0.09,0,2.3,1008,975,33,96.73,0,101,99,0.33
23,0,1.04,0,0,0.33,0,0,0,0,2.09,1054,1019,35,96.68,0,105,95,0.36
24,0,0.9,0,0,0.08,0,0,0,0,1.69,1091,1063,28,97.43,0,105,95,0.37
25,0,1.01,0,0,0.36,0,0,0,0,1.39,1133,1102,31,97.26,0,81,119,0.2
26,0,0.84,0,0,0.44,0,0,0,0,1.22,1183,1155,28,97.63,0,91,109,0.26
27,0,0.89,0,0,0,0,0,0,0,1.4,1224,1198,26,97.88,0,81,119,0.3
28,0,0.62,0,0,0,0,0,0,0,1.34,1264,1242,22,98.26,0,82,118,0.32
29,0,0.28,0,0,0.07,0,0,0.08,0,1.38,1315,1294,21,98.4,0,74,126,0.34
30,0,0,0,0,0,0,0,0,0,1.19,1342,1328,14,98.96,0,62,138,0.15
31,0,0,0,0,0,0,0,0,0,1.47,1387,1370,17,98.77,0,55,145,0.22
32,0,0.08,0,0,0,0,0,0,0,1.39,1433,1416,17,98.81,0,56,144,0.26
33,0,0,0,0,0,0,0,0,0,0.9,1479,1468,11,99.26,0,43,157,0.29
34,0,0,0,0,0,0,0,0,0,0.97,1527,1515,12,99.21,0,41,159,0.31
35,0,0,0,0,0,0,0,0,0,0.7,1577,1568,9,99.43,0,37,163,0.11
36,0,0,0,0,0,0,0,0,0,0.7,1623,1614,9,99.45,0,27,173,0.19
37,0,0,0,0,0,0,0,0,0,0.53,1673,1666,7,99.58,0,29,171,0.24
38,0,0,0,0,0,0,0,0,0,0.53,1724,1717,7,99.59,0,20,180,0.27
39,0,0.08,0,0,0.12,0,0,0,0,0.52,1778,1768,10,99.44,0,12,188,0.29
40,0,0,0,0,0,0,0,0,0,0.52,1826,1819,7,99.62,0,9,191,0.08
