cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0,0,0,0,0,0,0,0,12,12,0,100,0,200,0,0.03
2,0,0,0,0,0,0,0,0,0,0,17,17,0,100,0,200,0,0.05
3,0,0,0,0,0,0,0,0.28,0,0,27,25,2,92.59,0,200,0,0.09
4,0,0,0,0,0,0,0,0,0,0,34,34,0,100,0,199,1,0.13
5,0,0,0,0,0,0,0,0,0,0,45,45,0,100,0,198,2,0.19
6,0,0,0,0,0.12,0,0,0,0,0,59,58,1,98.31,0,197,3,0.23
7,0,0.33,0,0,0.11,0,0,0,0,0.28,76,71,5,93.42,0,194,6,0.27
8,0,0.3,0,0.11,0.12,0.15,0,0,0,0.14,92,86,6,93.48,0,194,6,0.32
9,0.1,0.46,0.13,0.11,0.11,0.14,0,0,0,0.14,102,93,9,91.18,0,190,10,0.36
10,0.19,0.63,0.13,0.11,0.21,0.3,0,0,0.17,0.27,118,103,15,87.29,0,191,9,0.36
11,0.2,0.53,0.13,0.1,0.21,0.27,0,0,0.17,0.43,129,113,16,87.6,0,186,14,0.4
12,0.18,0.7,0.13,0.1,0.2,0.27,0,0,0.17,0.36,138,121,17,87.68,0,182,18,0.43
13,0.18,0.75,0.25,0.1,0.23,0.29,0,0,0.18,0.58,152,132,20,86.84,0,184,16,0.46
14,0.19,0.73,0.25,0.1,0.22,0.27,0,0,0.17,0.52,161,142,19,88.2,0,182,18,0.48
15,0.19,0.73,0.26,0.2,0.23,0.42,0,0,0.17,0.53,174,153,21,87.93,0,183,17,0.43
16,0.19,0.76,0.24,0.19,0.18,0.38,0,0,0.17,0.48,183,162,21,88.52,0,172,28,0.46
17,0.2,1.08,0.24,0.21,0.21,0.56,0,0.13,0.34,0.62,196,168,28,85.71,0,178,22,0.48
18,0.18,1.03,0.24,0.2,0.52,0.6,0,0.12,0.33,0.59,215,183,32,85.12,0,174,26,0.5
19,0.18,1.24,0.24,0.31,0.46,0.65,0,0.11,0.34,0.58,225,190,35,84.44,0,169,31,0.52
20,0.16,1.22,0.25,0.29,0.59,0.59,0,0.11,0.34,0.57,234,198,36,84.62,0,160,40,0.44
21,0.18,1.27,0.24,0.39,0.5,0.61,0,0.11,0.31,0.57,247,210,37,85.02,0,159,41,0.46
22,0.26,1.37,0.25,0.46,0.7,0.85,0,0.11,0.32,0.55,260,216,44,83.08,0,159,41,0.48
23,0.34,1.43,0.22,0.46,0.71,0.83,0,0.13,0.32,0.61,275,228,47,82.91,0,154,46,0.5
24,0.34,1.39,0.23,0.51,0.81,0.92,0,0.11,0.32,0.61,285,236,49,82.81,0,152,48,0.52
25,0.38,1.28,0.21,0.65,0.73,0.86,0,0.22,0.27,0.61,299,247,52,82.61,0,142,58,0.43
26,0.41,1.56,0.23,0.62,0.74,0.86,0,0.24,0.3,0.71,310,256,54,82.58,0,150,50,0.45
27,0.44,1.68,0.32,0.67,0.8,0.83,0,0.2,0.29,0.85,321,261,60,81.31,0,137,63,0.47
28,0.44,1.5,0.34,0.61,0.81,0.72,0,0.31,0.29,1.01,331,269,62,81.27,0,137,63,0.49
29,0.45,1.5,0.32,0.7,0.76,0.84,0.11,0.31,0.31,1.09,341,275,66,80.65,0,131,69,0.5
30,0.46,1.64,0.33,0.69,0.73,0.78,0.11,0.29,0.26,1.31,348,278,70,79.89,0,124,76,0.41
31,0.44,1.57,0.31,0.65,0.82,0.87,0.11,0.37,0.27,1.17,361,289,72,80.06,0,120,80,0.43
32,0.49,1.5,0.45,0.69,0.8,0.86,0.11,0.36,0.26,1.52,371,295,76,79.51,0,121,79,0.45
33,0.68,1.58,0.42,0.65,0.82,0.93,0.32,0.37,0.25,1.46,382,299,83,78.27,0,114,86,0.47
34,0.84,1.62,0.45,0.7,0.86,0.84,0.32,0.46,0.41,1.27,395,308,87,77.97,0,117,83,0.48
35,0.71,1.53,0.41,0.77,0.8,1.04,0.33,0.72,0.41,1.44,411,317,94,77.13,0,106,94,0.39
36,0.81,1.61,0.42,0.74,0.87,1.07,0.31,0.74,0.36,1.49,420,325,95,77.38,0,109,91,0.42
37,0.79,1.61,0.51,0.74,0.89,1.13,0.31,0.91,0.5,1.43,428,326,102,76.17,0,102,98,0.44
38,0.81,1.72,0.61,0.71,0.94,1.13,0.3,0.96,0.49,1.35,435,329,106,75.63,0,98,102,0.45
39,0.8,1.67,0.62,0.75,0.98,1.13,0.31,0.96,0.48,1.31,448,341,107,76.12,0,97,103,0.47
40,0.84,1.67,0.61,0.71,1.1,1.13,0.3,0.95,0.46,1.3,461,351,110,76.14,0,91,109,0.37
