cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,3.58,0,0,0,0,0,0,0,0,44,22,22,50,0,200,0,0.07
2,0,6.84,0,0,0.24,0,0,0,0,0,93,49,44,52.69,0,200,0,0.15
3,0,8.3,0,0,0,0.15,0,0,0,0.44,133,78,55,58.65,0,200,0,0.21
4,0,10.84,0,0,0,0.15,0,0,0.18,0.88,188,111,77,59.04,0,197,3,0.28
5,0,11.87,0.13,0,0.12,0.15,0.13,0,0.18,0.58,240,145,95,60.42,0,195,5,0.37
6,0,15.29,0.27,0,0,0.15,0.13,0,0.18,0.28,292,184,108,63.01,0,193,7,0.43
7,0,15.98,0.27,0,0.24,0.15,0.13,0,0.37,0.13,328,218,110,66.46,0,194,6,0.48
8,0,16.47,0.26,0,0.33,0.15,0.13,0.13,0.36,0.15,373,250,123,67.02,0,192,8,0.54
9,0.09,17.06,0.26,0,0.49,0.14,0.14,0.25,0.55,0.29,417,285,132,68.35,0,192,8,0.57
10,0.1,18.55,0.23,0,0.56,0.43,0.26,0.62,0.49,0.14,466,322,144,69.1,0,184,16,0.55
11,0.18,17.16,0.22,0,0.68,0.51,0.26,0.52,0.53,0.5,516,361,155,69.96,0,178,22,0.58
12,0.2,17.41,0.25,0,0.62,0.48,0.25,0.48,0.51,0.54,556,399,157,71.76,0,177,23,0.6
13,0.18,17.48,0.35,0,0.7,0.49,0.38,0.59,0.52,0.6,595,435,160,73.11,0,174,26,0.62
14,0.26,16.91,0.34,0,0.87,0.49,0.36,0.69,0.5,0.73,633,471,162,74.41,0,172,28,0.63
15,0.24,14.96,0.34,0,0.79,0.53,0.35,0.68,0.47,0.64,661,499,162,75.49,0,160,40,0.55
16,0.37,16.44,0.34,0,0.98,0.53,0.34,0.84,0.62,0.65,690,526,164,76.23,0,166,34,0.57
17,0.35,15.48,0.42,0,0.98,0.53,0.36,0.88,0.85,0.78,730,557,173,76.3,0,156,44,0.59
18,0.32,15.11,0.42,0,1.05,0.61,0.45,1.05,0.89,0.71,763,587,176,76.93,0,154,46,0.61
19,0.3,13.93,0.46,0,0.95,0.72,0.45,1.04,0.77,0.73,792,616,176,77.78,0,150,50,0.62
20,0.4,15.68,0.5,0,0.95,0.79,0.45,1,0.87,0.72,826,647,179,78.33,0,147,53,0.52
21,0.38,16.6,0.65,0.19,1.13,0.82,0.41,1.09,0.85,0.89,871,684,187,78.53,0,148,52,0.55
22,0.41,14.28,0.83,0.2,1.25,1.06,0.56,1.32,0.77,0.88,905,717,188,79.23,0,150,50,0.57
23,0.43,14.72,0.84,0.2,1.28,1.13,0.67,1.25,0.82,0.81,949,747,202,78.71,0,140,60,0.58
24,0.43,14.97,0.89,0.18,1.31,1.22,0.67,1.31,0.79,1.02,987,776,211,78.62,0,134,66,0.59
25,0.58,15.95,0.92,0.29,1.27,1.26,0.72,1.18,0.72,0.98,1021,805,216,78.84,0,130,70,0.49
26,0.59,15.67,0.88,0.37,1.34,1.36,0.7,1.29,0.75,1.06,1058,834,224,78.83,0,122,78,0.52
27,0.68,15.78,0.84,0.46,1.41,1.57,0.74,1.4,0.85,0.98,1088,859,229,78.95,0,120,80,0.54
28,0.83,17.05,0.87,0.55,1.65,1.61,0.72,1.43,0.97,1.27,1134,888,246,78.31,0,129,71,0.56
29,0.84,17.06,0.93,0.55,1.6,1.78,0.91,1.35,0.99,1.24,1168,914,254,78.25,0,126,74,0.57
30,0.87,16.92,0.86,0.64,1.92,1.65,1.04,1.49,1.17,1.46,1206,944,262,78.28,0,131,69,0.46
31,0.83,16.28,0.83,0.72,1.72,1.53,0.98,1.42,1.17,1.15,1248,977,271,78.29,0,108,92,0.49
32,0.93,15.59,0.88,0.71,1.92,1.59,0.96,1.71,1.4,1.25,1277,1005,272,78.7,0,114,86,0.51
33,0.91,14.87,0.87,0.81,1.92,1.48,0.97,1.72,1.8,1.25,1306,1031,275,78.94,0,107,93,0.53
34,1.08,15.45,0.85,0.8,2.13,1.64,0.97,1.57,1.68,1.35,1340,1058,282,78.96,0,108,92,0.54
35,1.09,14.93,0.87,0.85,2.07,1.54,0.92,1.75,1.62,1.42,1379,1085,294,78.68,0,96,104,0.43
36,1.1,14.82,1,0.94,2.01,1.7,0.93,1.74,1.68,1.76,1416,1111,305,78.46,0,96,104,0.46
37,1.09,15.07,0.87,0.94,2.01,1.8,0.92,1.92,1.56,1.75,1454,1140,314,78.4,0,89,111,0.48
38,1.05,15.13,0.94,0.95,2.03,1.82,0.88,1.99,1.56,1.73,1488,1166,322,78.36,0,83,117,0.5
39,1.1,15.14,0.94,0.94,2.09,1.75,0.88,1.95,1.56,1.78,1522,1194,328,78.45,0,81,119,0.52
40,1.1,15.23,0.94,0.92,2.14,1.8,0.88,2.11,1.82,1.73,1563,1227,336,78.5,0,78,122,0.4
