cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.24,0,0,0,0,0.44,45,38,7,84.44,0,200,0,0.09
2,0,0.33,0,0.11,0.12,0,0.14,0.69,0,0.88,89,73,16,82.02,0,200,0,0.17
3,0,0.31,0,0.11,0.12,0,0.14,0.42,0,2.04,125,103,22,82.4,0,198,2,0.24
4,0.1,0.49,0,0.44,0.12,0.31,0.14,0.28,0,2.38,182,150,32,82.42,0,198,2,0.31
5,0.1,0.59,0.13,0.43,0.7,0.76,0.26,0.79,0,2.81,228,178,50,78.07,0,192,8,0.38
6,0.19,0.95,0.4,0.64,1.06,0.55,0.26,0.92,0.32,2.48,277,217,60,78.34,0,188,12,0.43
7,0.2,1.79,0.51,0.51,1.12,1.29,0.27,1.32,0.51,2.54,323,249,74,77.09,0,191,9,0.49
8,0.19,2.03,0.81,0.82,1.2,0.89,0.26,1.39,0.83,2.81,367,280,87,76.29,0,182,18,0.52
9,0.5,2.68,0.89,0.89,1.79,1,0.36,1.42,0.9,3.4,420,314,106,74.76,0,185,15,0.55
10,0.46,2.7,1,1.32,2.11,1.29,0.51,2.01,1.56,3.29,480,350,130,72.92,0,179,21,0.49
11,0.82,2.4,0.99,1.35,2.12,2.48,0.78,2.16,1.69,3.49,536,385,151,71.83,0,172,28,0.51
12,0.84,2.86,1.23,1.64,2.73,2.58,0.95,2.13,1.79,3.49,594,424,170,71.38,0,172,28,0.54
13,0.88,2.95,1.25,1.61,3.67,2.6,1.06,2.67,1.65,4.06,640,452,188,70.63,0,168,32,0.56
14,1.41,3.38,1.65,1.85,3.82,2.98,1.13,2.89,2.14,4.94,692,480,212,69.36,0,176,24,0.57
15,1.54,3.18,1.78,2.13,3.69,2.84,1.47,3.18,2.23,4.02,738,513,225,69.51,0,168,32,0.46
16,1.72,3.11,2.07,2.22,3.9,3.56,1.28,2.93,2.32,4.47,796,543,253,68.22,0,153,47,0.49
17,1.79,3.44,2.11,2.42,3.99,3.82,1.43,3.62,2.82,5.13,847,573,274,67.65,0,157,43,0.51
18,1.96,4.99,2.47,2.22,3.69,3.87,1.59,3.53,3.27,6.75,912,609,303,66.78,0,154,46,0.52
19,1.95,5.06,2.43,2.64,4.26,3.92,1.53,3.82,3.45,5.82,970,643,327,66.29,0,145,55,0.54
20,2.46,5.29,3.11,2.69,3.7,4.29,1.7,4.43,3.49,6.65,1032,676,356,65.5,0,146,54,0.43
21,2.57,5.06,2.93,2.78,4.44,4.43,1.79,4.53,3.83,5.65,1084,709,375,65.41,0,136,64,0.46
22,2.89,5.09,3.23,2.92,4.1,4.45,1.61,5.17,4.21,6.42,1158,751,407,64.85,0,129,71,0.48
23,3.4,5.84,3.44,3.47,5.8,4.54,1.79,4.79,3.95,7.52,1221,781,440,63.96,0,138,62,0.5
24,3.67,5.97,3.47,3.7,5.59,5.06,2.32,5.13,5.1,6.74,1291,815,476,63.13,0,136,64,0.51
25,3.66,6.66,3.52,3.52,5.88,5.62,2.21,5.89,4.53,7.14,1358,846,512,62.3,0,122,78,0.4
26,3.75,6.26,4.26,4.37,6.97,6.1,2.39,5.69,4.71,7.81,1450,894,556,61.66,0,120,80,0.43
27,4.54,6.29,5.41,4.49,7.11,5.87,2.36,5.96,5.74,8.34,1528,940,588,61.52,0,122,78,0.46
28,4.07,6.9,4.63,4.4,6.68,5.83,2.75,6.17,5.28,8.39,1602,982,620,61.3,0,104,96,0.47
29,4.68,6.87,4.91,4.86,7.42,6.85,2.76,6.64,6.64,8.95,1675,1019,656,60.84,0,115,85,0.49
30,5.13,7.69,5.6,5.51,7.27,6.91,3.26,7.07,7.31,8.89,1756,1058,698,60.25,0,115,85,0.37
31,5.3,8.44,5.64,5.42,8.24,7.91,3.31,7.12,6.23,9.83,1853,1103,750,59.53,0,102,98,0.41
32,5.18,8.53,5.66,6.33,8.52,7.37,3.51,7.83,6.37,10,1938,1148,790,59.24,0,102,98,0.44
33,5.01,9.33,5.85,5.82,9.65,8.17,3.55,8.58,6.82,10.11,2025,1184,841,58.47,0,94,106,0.46
34,5.54,9.81,6.56,6,9.25,8.67,3.45,9.12,6.87,10.34,2119,1228,891,57.95,0,87,113,0.47
35,5.69,10.14,6.32,6.13,9.98,9.5,3.43,9.47,7.37,11.77,2221,1280,941,57.63,0,88,112,0.36
36,5.85,9.62,6.82,6.62,9.44,9.19,3.77,10.47,7.36,12.53,2334,1335,999,57.2,0,79,121,0.4
37,6.09,9.89,7.15,6.67,10.06,9.63,3.61,10.83,7.8,12.62,2440,1392,1048,57.05,0,75,125,0.42
38,6.36,9.89,7.51,6.87,10.63,9.9,3.77,11.08,8.61,13.58,2550,1446,1104,56.71,0,72,128,0.45
39,6.38,10.69,7.73,7.24,11.11,10.17,3.85,11.49,8.56,14.22,2643,1497,1146,56.64,0,71,129,0.47
40,6.66,10.95,7.8,7.32,11.42,10.88,4.01,11.65,9.11,14.62,2749,1555,1194,56.57,0,67,133,0.34
