cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0.13,0,0.24,0,0,0.69,0,0.88,98,81,17,82.65,0,200,0,0.19
3,0,0.49,0.27,0,0.24,0,0.14,0.42,0.18,1.75,138,114,24,82.61,0,200,0,0.26
4,0,0.65,0.54,0.1,0.37,0.15,0.13,0.13,0.18,2.03,193,162,31,83.94,0,194,6,0.34
5,0.19,0.74,0.6,0.21,1.06,0.42,0.27,0.55,0,2.73,244,192,52,78.69,0,192,8,0.4
6,0.29,1.3,0.75,0.42,1.41,0.28,0.27,0.63,0.17,2.68,299,235,64,78.6,0,189,11,0.45
7,0.51,1.53,1.08,0.39,1.58,0.59,0.36,1.22,0.37,2.86,344,266,78,77.33,0,191,9,0.49
8,0.55,2.33,1.3,0.61,1.64,0.54,0.37,1.34,0.52,3,393,300,93,76.34,0,184,16,0.53
9,0.66,2.4,1.47,0.66,2.17,1.05,0.52,1.3,0.88,3.89,447,331,116,74.05,0,180,20,0.55
10,0.77,2.38,1.64,1.09,2.2,1.09,0.52,1.71,1.03,4.57,500,365,135,73,0,179,21,0.48
11,1.02,3.24,1.97,1.13,2.41,1.99,0.49,1.84,1.32,4.89,554,394,160,71.12,0,176,24,0.5
12,1.05,3.35,2.09,1.22,2.64,2.07,0.66,2.08,1.48,4.1,608,434,174,71.38,0,171,29,0.53
13,1.16,3.38,2.17,1.24,2.9,2.29,0.59,2.47,1.55,4.12,648,458,190,70.68,0,168,32,0.54
14,1.39,3.89,2.31,1.74,3.47,2.91,0.82,2.59,1.78,5.41,697,489,208,70.16,0,178,22,0.56
15,1.36,3.85,2.44,1.69,3.23,2.69,1.1,2.41,1.98,4.45,741,521,220,70.31,0,166,34,0.44
16,1.38,3.55,2.71,2.06,2.94,3.14,1.08,1.93,2.3,4.14,784,546,238,69.64,0,147,53,0.47
17,1.58,3.72,2.67,2.34,3.5,3.55,1.21,2.88,2.74,4.81,825,571,254,69.21,0,160,40,0.49
18,1.63,3.6,3.08,2.14,3.3,3.4,1.22,2.96,2.85,5.16,867,596,271,68.74,0,147,53,0.5
19,1.6,3.73,3.39,2.25,3.28,3.49,1.33,3.48,3.26,5.41,908,624,284,68.72,0,152,48,0.51
20,1.78,4.14,3.55,2.61,3.61,3.65,1.53,4.2,3.56,5.45,963,645,318,66.98,0,149,51,0.4
21,2.05,5.14,3.69,2.35,3.35,3.34,1.45,4.09,3.94,5.62,1003,667,336,66.5,0,140,60,0.43
22,2.09,5.15,3.59,2.28,3.94,3.32,1.42,4.39,3.45,5.7,1049,694,355,66.16,0,132,68,0.45
23,2.46,5.9,3.76,2.6,3.58,3.44,1.64,4.69,4.1,6.37,1100,717,383,65.18,0,129,71,0.46
24,2.92,5.78,3.92,2.97,4.61,3.96,1.61,4.69,4.4,6.61,1151,736,415,63.94,0,132,68,0.48
25,2.8,6.7,4.19,3.19,4.8,3.88,1.62,5.15,4.1,7.49,1198,761,437,63.52,0,129,71,0.37
26,2.86,6.4,4.19,3.05,5.88,4.12,1.69,5.37,4.81,6.69,1248,784,464,62.82,0,123,77,0.4
27,3.05,6.53,4.37,3.43,5.82,4.15,2.05,4.75,4.08,6.72,1303,813,490,62.39,0,110,90,0.42
28,3.36,6.94,4.93,3.74,5.95,4.22,2.21,5.07,5.02,8.77,1352,834,518,61.69,0,122,78,0.44
29,3.51,6.84,4.7,3.4,6.62,4.46,2.17,5.7,4.87,8.82,1394,844,550,60.55,0,112,88,0.45
30,3.22,7.38,4.64,3.46,6.61,4.66,2.23,5.66,4.45,7.59,1438,866,572,60.22,0,97,103,0.34
31,3.53,8.31,5.24,3.53,6.71,5.2,2.3,6.04,5.11,8.21,1483,885,598,59.68,0,109,91,0.37
32,3.28,7.25,4.78,3.83,6.41,5.3,2.25,6.33,4.93,8.59,1523,900,623,59.09,0,91,109,0.39
33,3.51,8.01,4.98,4,6.89,5.26,2.29,6.67,5.04,8.48,1573,924,649,58.74,0,89,111,0.41
34,4.02,8.02,5.11,3.84,7.49,5.38,2.26,6.75,4.81,8.73,1621,945,676,58.3,0,83,117,0.43
35,3.89,7.86,5.07,4.2,7.43,6.24,2.56,7.2,4.91,8.82,1661,966,695,58.16,0,84,116,0.31
36,3.69,8.61,5.41,4.19,7.58,6.47,2.47,6.87,5.31,8.66,1706,985,721,57.74,0,80,120,0.34
37,4.06,9.13,5.5,4.31,8.15,6.44,2.49,6.8,5.06,9.06,1760,1004,756,57.05,0,74,126,0.37
38,4.03,8.57,5.37,4.44,7.71,6.53,2.52,7.04,5.17,9.01,1807,1029,778,56.95,0,62,138,0.39
39,4.2,8.97,5.77,4.55,7.88,7.18,2.56,7.33,5.59,9.31,1859,1057,802,56.86,0,67,133,0.41
40,4.32,8.57,5.77,4.65,8.15,6.96,2.64,7.65,5.69,9.34,1911,1082,829,56.62,0,59,141,0.28
