cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0.16,0,0,0.73,0,0,0.28,0,0.15,48,38,10,79.17,0,200,0,0.09
2,0.31,0,0.13,0,0.85,0.31,0,0.69,0.18,0.15,97,77,20,79.38,0,200,0,0.18
3,0.42,0.16,0.13,0.22,1.28,0.77,0,0.4,0.17,0.86,151,117,34,77.48,0,198,2,0.27
4,0.73,0.16,0.25,0.32,1.29,0.75,0,0.55,0.55,1.46,193,147,46,76.17,0,197,3,0.34
5,1.2,0,0.4,0.44,1.46,0.57,0,0.67,0.5,1.77,243,187,56,76.95,0,194,6,0.41
6,2.06,0.16,0.4,0.54,1.53,0.71,0.14,0.54,0.55,1.95,288,219,69,76.04,0,194,6,0.46
7,1.59,0.65,0.81,0.75,1.41,0.77,0.13,0.9,0.88,1.86,332,253,79,76.2,0,190,10,0.51
8,1.32,0.57,1.04,0.75,1.55,0.74,0.26,1.68,0.78,2.43,385,297,88,77.14,0,187,13,0.54
9,1.6,1.11,0.88,0.95,1.65,1.2,0.28,1.95,1.17,2.38,438,334,104,76.26,0,187,13,0.57
10,1.85,1.42,1.05,0.96,1.74,1.25,0.27,1.86,1.83,2.33,490,369,121,75.31,0,178,22,0.5
11,2.29,1.46,1.59,0.99,1.99,1.48,0.28,2.18,2.35,2.53,549,408,141,74.32,0,177,23,0.54
12,2.09,1.75,1.58,1.23,2.53,1.52,0.38,2.35,2.39,2.81,597,440,157,73.7,0,174,26,0.57
13,3.05,2.09,1.89,1.31,2.81,1.54,0.53,2.12,2.57,3.11,645,473,172,73.33,0,180,20,0.59
14,2.89,2.34,1.67,1.49,2.87,1.83,0.53,2.29,2.28,2.7,688,499,189,72.53,0,164,36,0.6
15,2.93,2.56,1.82,1.6,3.23,2.01,0.69,2.31,2.52,2.92,734,527,207,71.8,0,159,41,0.49
16,3.46,2.67,2.01,1.63,3.07,2.34,0.79,2.54,2.84,2.28,774,556,218,71.83,0,158,42,0.52
17,3.35,3.04,2.2,1.76,3.43,2.2,0.78,2.94,2.97,2.66,810,579,231,71.48,0,159,41,0.54
18,3.3,3.26,2.52,1.95,3.84,2.41,0.89,2.63,2.81,2.54,850,600,250,70.59,0,151,49,0.55
19,4.1,3.38,2.78,2.05,4.06,2.88,0.99,2.99,2.95,2.74,905,625,280,69.06,0,149,51,0.57
20,4.5,3,3.07,1.96,4.14,2.88,1.07,3.64,3.29,3.32,949,649,300,68.39,0,146,54,0.45
21,4.49,3.33,2.96,2.04,4.51,3.46,1.16,3.44,3.36,3.37,997,670,327,67.2,0,136,64,0.48
22,5.17,3.17,2.81,2.3,4.93,3.59,1.2,3.66,3.84,3.73,1039,692,347,66.6,0,141,59,0.5
23,5.51,3.19,2.98,2.56,4.6,4.03,1.31,4.05,4.29,4.06,1083,714,369,65.93,0,136,64,0.52
24,5.37,3.65,3.01,2.55,6.23,3.82,1.43,4.07,3.9,4.25,1119,729,390,65.15,0,137,63,0.53
25,6,4.31,3.24,2.83,5.03,4.42,1.52,4.28,3.76,4.58,1166,748,418,64.15,0,130,70,0.41
26,6.17,4.34,3.51,2.9,5.32,4.3,1.67,5.12,4.36,5.41,1212,766,446,63.2,0,133,67,0.44
27,6.18,4.45,3.78,2.8,5.45,4.83,1.82,4.57,4.02,5.45,1248,775,473,62.1,0,121,79,0.47
28,6.26,4.62,4.26,3.07,5.29,4.87,1.74,4.47,4.4,5.11,1296,797,499,61.5,0,111,89,0.49
29,6.44,4.54,4.14,3.24,5.98,5.43,1.92,5.55,4.71,5.3,1336,816,520,61.08,0,117,83,0.5
30,6.95,4.69,4.5,3.05,5.53,5.8,1.99,4.92,4.93,5.36,1379,837,542,60.7,0,108,92,0.38
31,6.61,4.69,4.68,3.28,5.79,5.29,2.31,5.23,5,5.67,1427,860,567,60.27,0,98,102,0.42
32,7.01,5.01,4.03,3.28,6.53,5.8,2.37,5.47,5.18,5.91,1475,882,593,59.8,0,99,101,0.45
33,6.98,5,4.35,3.39,6.5,6.34,2.35,5.24,4.97,6.18,1508,894,614,59.28,0,93,107,0.46
34,7.24,5.16,4.38,3.45,6.3,5.85,2.41,5.98,5.43,7.39,1551,913,638,58.87,0,93,107,0.48
35,7.54,5.91,4.41,3.51,6.41,6.34,2.43,6.03,5.33,6.87,1593,927,666,58.19,0,88,112,0.36
36,7.11,5.8,4.9,3.53,6.9,6.82,2.55,6.07,5.57,6.45,1635,946,689,57.86,0,82,118,0.4
37,7.79,6.28,4.79,3.68,6.65,6.3,2.51,6.48,5.44,7.01,1678,969,709,57.75,0,83,117,0.43
38,7.69,6.6,5.16,3.68,6.77,6.4,2.61,6.74,5.72,7.08,1727,986,741,57.09,0,76,124,0.45
39,7.97,6.5,5.16,3.68,6.77,6.39,2.71,7.07,5.77,7.17,1763,1007,756,57.12,0,75,125,0.47
40,8.09,6.59,5.16,3.68,6.9,6.47,2.8,7.23,5.56,7.32,1800,1029,771,57.17,0,72,128,0.34
