cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0.42,1.95,2.16,0.87,1.46,1.86,0,0.55,1.47,2.92,47,23,24,48.94,0,200,0,0.07
2,1.67,5.21,2.7,0,3.9,2.48,0,3.33,1.47,5.84,99,52,47,52.53,0,200,0,0.13
3,1.67,7.16,2.16,0,3.9,1.86,0.55,3.33,2.2,8.76,134,79,55,58.96,0,200,0,0.17
4,2.46,9.12,3.24,2.18,6.33,3.71,0.55,4.99,2.93,12.85,201,115,86,57.21,0,199,1,0.25
5,2.09,9.12,2.7,1.74,8.77,3.71,1.1,4.99,1.47,14.6,238,148,90,62.18,0,200,0,0.29
6,3.76,9.89,2.16,2.18,9.44,4.33,0,6.1,1.47,16.35,288,186,102,64.58,0,199,1,0.36
7,3.34,10.42,2.16,1.74,10.71,4.95,0.55,7.76,2.2,16.94,334,225,109,67.37,0,200,0,0.4
8,2.92,13.03,2.7,0.44,10.71,4.95,0.55,7.76,2.2,17.52,374,263,111,70.32,0,200,0,0.45
9,2.41,15.73,2.7,1.71,10.71,4.95,0.54,7.76,1.47,18.69,417,298,119,71.46,0,197,3,0.51
10,1.22,14.47,2.06,1.74,11.41,4.95,0.54,7.76,0.73,19.86,451,335,116,74.28,0,197,3,0.55
11,1.23,13.03,1.62,1.99,10.97,6,0.51,7.57,2.2,21.02,489,371,118,75.87,0,195,5,0.59
12,1.64,12.59,1.62,1.7,11.69,6.19,0.53,7.76,1.47,21.61,523,404,119,77.25,0,197,3,0.64
13,2.46,12.59,1.62,1.25,10.46,6,0.52,7.03,2.2,22.78,558,438,120,78.49,0,195,5,0.68
14,1.67,11.33,1.62,2.13,11.18,4.95,0,7.21,2.2,23.36,594,476,118,80.13,0,197,3,0.72
15,1.19,10.42,1.03,0.83,11.88,4.2,0,7.57,0.73,23.36,616,506,110,82.14,0,195,5,0.74
16,0.39,10.51,1.05,0.42,11.11,4.04,0,7.76,0.7,25.28,645,533,112,82.64,0,193,7,0.77
17,0,9.27,1.08,0,10.39,3.56,0.54,7.57,0,26.28,661,556,105,84.11,0,196,4,0.79
18,0.39,9.12,0.54,0,9.78,2.48,0,7.03,1.47,25.84,685,583,102,85.11,0,194,6,0.81
19,0.39,9.12,0.51,0.81,10.5,3.09,0,5.87,0.73,25.84,705,602,103,85.39,0,194,6,0.82
20,0,8.97,0,0.4,9.84,4.2,0,5.21,0.73,25.28,729,628,101,86.15,0,189,11,0.81
21,0,9.12,0.54,0.78,9.93,4.75,0,5.22,0,24.72,753,650,103,86.32,0,190,10,0.82
22,0.38,8.26,1,0.41,9.92,3,0,5.54,0,26.21,769,668,101,86.87,0,191,9,0.84
23,0.72,7.77,0.49,0.4,9.61,1.73,0,5.41,0.67,26.53,785,686,99,87.39,0,185,15,0.84
24,0.35,8.37,0.5,0.36,9.72,1.15,0,4.17,0.73,25.26,797,701,96,87.95,0,184,16,0.85
25,0.34,8.18,0.96,0.79,10.13,0,0,5.09,2,25.84,819,718,101,87.67,0,181,19,0.83
26,0.68,8.41,1.47,0.73,10.97,0,0,4.99,1.3,25.52,841,736,105,87.51,0,179,21,0.84
27,1.25,8.69,0.49,0.71,9.93,0.56,0,4.55,0.67,24.94,851,749,102,88.01,0,175,25,0.85
28,0.66,8.01,0.98,1.07,9.84,0.54,0,4.04,0.68,25.55,870,770,100,88.51,0,174,26,0.85
29,0.6,9.15,0.49,0.71,10.15,0,0,3.49,0,23.43,888,789,99,88.85,0,171,29,0.85
30,0.32,8.29,0.49,0.73,11.32,0.51,0,2.99,0.7,23.93,905,804,101,88.84,0,172,28,0.82
31,0.64,8.01,0.45,0.66,10.53,0.53,0,2.55,0.65,24.25,919,822,97,89.45,0,168,32,0.82
32,0.58,8.33,0.46,0.69,10.57,0.48,0,2.71,0.71,25.22,935,833,102,89.09,0,166,34,0.82
33,0.88,7.8,0.47,0.68,10.87,1.58,0,2.5,2.04,24.98,960,852,108,88.75,0,163,37,0.82
34,0.6,8.11,0.44,0.94,12.15,1.92,0,2.04,2.49,26.36,980,869,111,88.67,0,160,40,0.82
35,0.57,8.99,0.46,1.29,11.06,1.44,0.45,1.44,2.61,28.72,1001,885,116,88.41,0,160,40,0.8
36,0.55,7.55,0.43,1.24,11.07,1.99,0,1.74,2.4,26.67,1016,898,118,88.39,0,149,51,0.8
37,0.85,8.63,0.45,1.21,10.28,1.39,0,2.26,1.8,26.12,1033,915,118,88.58,0,148,52,0.8
38,1.14,7.55,0.42,1.22,10.68,1.39,0,2.17,1.88,27.04,1050,931,119,88.67,0,149,51,0.8
39,0.83,7.01,1.25,1.17,9.83,1.43,0,2.69,1.2,27.04,1063,946,117,88.99,0,145,55,0.8
40,0.81,6.47,1.25,1.14,9.1,1.85,0,2.17,1.2,27.5,1077,961,116,89.23,0,142,58,0.76
