cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,2,0,0,0,0,0,0,0,0,0,48,25,23,52.08,0,200,0,0.08
2,3.24,0,0,0,0,0,0,0,0,0,100,62,38,62,0,198,2,0.15
3,3.13,0,0,0,0,0,0,0,0,0,138,102,36,73.91,0,200,0,0.21
4,4.53,0,0,0,0,0,0,0,0.15,0,199,146,53,73.37,0,199,1,0.29
5,4.32,0,0,0,0,0,0,0,0.15,0,243,190,53,78.19,0,197,3,0.37
6,4.72,0,0,0,0,0,0,0,0.15,0,297,237,60,79.8,0,195,5,0.46
7,4.21,0,0,0,0,0,0,0,0.15,0,344,285,59,82.85,0,191,9,0.53
8,4.27,0,0,0,0,0,0,0,0.15,0,384,330,54,85.94,0,193,7,0.6
9,4.61,0.14,0,0,0,0,0,0,0.15,0,430,375,55,87.21,0,195,5,0.66
10,4.08,0.14,0,0,0,0,0,0,0.15,0,473,418,55,88.37,0,189,11,0.66
11,3.77,0.13,0,0,0,0,0,0,0.14,0,509,459,50,90.18,0,191,9,0.7
12,3.85,0.12,0,0,0,0,0,0.22,0.15,0.11,552,498,54,90.22,0,189,11,0.74
13,3.59,0.12,0,0,0,0,0,0.2,0.15,0.11,589,536,53,91,0,186,14,0.76
14,3.04,0.14,0,0,0,0,0,0.31,0.15,0.11,618,568,50,91.91,0,185,15,0.79
15,2.4,0.13,0,0,0.08,0,0,0.3,0.14,0.32,649,601,48,92.6,0,175,25,0.73
16,2.03,0.12,0,0,0.09,0,0,0.31,0.15,0.32,668,629,39,94.16,0,180,20,0.75
17,2.03,0.14,0,0,0.08,0,0,0.29,0.14,0.32,697,655,42,93.97,0,175,25,0.77
18,1.95,0.12,0,0,0.09,0,0,0.28,0.15,0.3,716,677,39,94.55,0,175,25,0.78
19,1.96,0.13,0,0,0.08,0,0,0.29,0.14,0.29,739,699,40,94.59,0,173,27,0.79
20,2.13,0.26,0,0,0.19,0,0,0.39,0.15,0.3,766,720,46,93.99,0,175,25,0.73
21,1.9,0.39,0,0,0.17,0,0,0.38,0.14,0.29,785,741,44,94.39,0,173,27,0.75
22,1.99,0.35,0,0,0.17,0,0,0.38,0.13,0.3,804,756,48,94.03,0,169,31,0.76
23,2.1,0.35,0,0,0.27,0,0,0.38,0.15,0.27,831,780,51,93.86,0,167,33,0.77
24,2.06,0.36,0,0,0.25,0,0,0.38,0.13,0.28,847,798,49,94.21,0,168,32,0.78
25,2.02,0.34,0,0,0.23,0,0,0.39,0.14,0.29,866,814,52,94,0,159,41,0.71
26,2.49,0.33,0,0,0.23,0,0,0.45,0.15,0.26,895,831,64,92.85,0,156,44,0.73
27,2.72,0.35,0,0,0.22,0,0,0.53,0.14,0.26,916,850,66,92.79,0,155,45,0.75
28,3.16,0.34,0,0,0.24,0,0,0.54,0.13,0.28,948,872,76,91.98,0,158,42,0.76
29,3.31,0.35,0,0.08,0.22,0,0,0.6,0.14,0.26,963,883,80,91.69,0,153,47,0.77
30,3.4,0.35,0,0.09,0.21,0,0,0.51,0.13,0.28,983,899,84,91.45,0,151,49,0.7
31,4.02,0.33,0,0.08,0.22,0,0,0.56,0.13,0.27,1020,921,99,90.29,0,151,49,0.72
32,4.1,0.34,0,0.08,0.22,0.1,0,0.54,0.13,0.34,1040,937,103,90.1,0,149,51,0.74
33,4.01,0.47,0,0.08,0.29,0.09,0,0.55,0.13,0.35,1058,953,105,90.08,0,147,53,0.75
34,4.4,0.43,0,0.08,0.31,0.09,0,0.6,0.13,0.34,1077,961,116,89.23,0,142,58,0.76
35,4.55,0.54,0.09,0.08,0.29,0.19,0,0.6,0.14,0.34,1101,975,126,88.56,0,141,59,0.68
36,4.82,0.54,0.1,0.08,0.28,0.19,0,0.67,0.14,0.36,1115,986,129,88.43,0,143,57,0.71
37,5.13,0.57,0.09,0.08,0.29,0.18,0,0.72,0.13,0.34,1137,995,142,87.51,0,140,60,0.73
38,5.57,0.56,0.09,0.08,0.28,0.18,0,0.7,0.13,0.33,1159,1009,150,87.06,0,139,61,0.74
39,5.87,0.65,0.09,0.08,0.28,0.18,0,0.75,0.13,0.33,1182,1024,158,86.63,0,138,62,0.75
40,6.09,0.65,0.09,0.08,0.28,0.18,0,0.75,0.13,0.33,1203,1035,168,86.03,0,135,65,0.67
