cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0.69,0,0.55,0.29,47,34,13,72.34,0,200,0,0.1
2,0.21,0.49,0.13,0.11,0.24,0,1.24,0.69,0.55,0.88,97,65,32,67.01,0,200,0,0.19
3,0.1,0.49,0.13,0.11,0.37,0,1.1,0.42,1.47,1.75,136,96,40,70.59,0,200,0,0.27
4,0.1,0.81,0.13,0.11,0.47,0.15,1.28,0.27,2.46,2.34,188,133,55,70.74,0,194,6,0.34
5,0.41,1.39,0.13,0.21,1.22,0.45,1.95,0.55,2.23,2.9,241,159,82,65.98,0,193,7,0.38
6,0.77,1.56,0.37,0.33,1.64,0.27,2.12,0.92,3.12,3.04,296,191,105,64.53,0,187,13,0.43
7,0.99,1.89,0.39,0.32,1.5,0.57,2.66,1.27,3.56,3.36,341,221,120,64.81,0,186,14,0.47
8,0.87,2.31,0.67,0.61,1.53,0.96,2.04,1.37,3.69,3.3,386,250,136,64.77,0,176,24,0.49
9,0.87,2.11,0.85,0.94,2.37,1.39,2.2,1.04,3.77,3.65,433,277,156,63.97,0,176,24,0.52
10,1.28,2.41,0.85,1.31,2.36,1.45,2.15,1.61,4.19,3.95,484,302,182,62.4,0,168,32,0.44
11,1.44,2.77,0.95,1.3,2.9,2.31,2.89,1.78,5.44,4.35,537,330,207,61.45,0,170,30,0.46
12,1.71,2.94,1.17,1.58,2.99,2.6,3,2.5,5.58,4.39,592,358,234,60.47,0,170,30,0.48
13,2.11,2.56,1.09,1.47,3.72,2.72,3.1,2.83,5.98,4.94,638,379,259,59.4,0,161,39,0.49
14,2.64,2.89,1.08,1.8,3.6,2.87,4.21,2.72,5.63,4.89,679,406,273,59.79,0,163,37,0.5
15,2.63,3.21,1.26,1.92,4.1,2.68,4.36,2.43,6.17,5.28,722,421,301,58.31,0,153,47,0.38
16,2.93,3.51,1.41,2.03,3.76,3.68,4.63,2.64,6.47,4.76,769,440,329,57.22,0,146,54,0.4
17,3.39,3.19,1.49,2.16,4.19,3.65,4.67,2.74,6.4,5.11,809,459,350,56.74,0,143,57,0.42
18,3.93,3.41,1.78,2.12,3.97,3.9,5.45,3.14,6.4,5.07,852,475,377,55.75,0,143,57,0.44
19,3.65,4.26,1.74,2.28,4.28,3.73,5.39,4.05,6.43,5.63,900,496,404,55.11,0,136,64,0.45
20,4.81,5.08,1.92,2.4,4.23,4.06,5.43,4.19,7.3,6.08,958,513,445,53.55,0,135,65,0.33
21,5.24,4.81,2.29,2.33,4.58,4.26,5.84,4.49,8.13,6.47,1001,531,470,53.05,0,135,65,0.36
22,5.35,6.11,1.88,2.77,4.68,4.57,6.97,4.93,7.67,5.98,1053,553,500,52.52,0,129,71,0.38
23,5.28,5.79,2.28,2.94,5.57,4.86,6.29,4.55,7.54,5.64,1099,569,530,51.77,0,120,80,0.4
24,5.21,6.82,2.58,2.87,5.3,5.4,6.33,4.82,8.54,6.08,1147,583,564,50.83,0,115,85,0.41
25,5.45,7.47,2.41,2.69,5.84,4.88,6.46,5.51,7.91,6.41,1190,597,593,50.17,0,109,91,0.29
26,5.74,7.39,2.72,2.65,6.05,5.18,6.95,5.64,8.64,6.6,1250,612,638,48.96,0,97,103,0.32
27,5.96,7.39,3.32,2.92,6.38,6.13,7.08,5.47,9.37,6.94,1304,629,675,48.24,0,95,105,0.34
28,6.17,7.86,3.25,2.99,6.39,5.58,7.14,6.03,9.45,7.43,1346,647,699,48.07,0,99,101,0.36
29,6.53,7.65,3.41,3.16,6.94,6.03,7.01,6.06,9.98,7.98,1392,661,731,47.49,0,98,102,0.38
30,7,8.09,3.28,3.1,6.96,5.69,7.69,6.87,10.86,8.72,1443,681,762,47.19,0,95,105,0.26
31,6.59,8.16,3.3,3.26,7.11,6.29,7.45,6.55,10.25,7.94,1476,696,780,47.15,0,87,113,0.3
32,7.16,8.16,3.51,3.29,8.01,6.27,7.59,7.21,11,8.18,1528,713,815,46.66,0,84,116,0.32
33,7.41,8.34,3.51,3.59,7.25,6.73,8.54,7.7,9.96,9.14,1580,729,851,46.14,0,84,116,0.34
34,7.25,8.22,3.7,3.61,7.67,7.13,8.63,7.47,11.47,8.61,1626,744,882,45.76,0,75,125,0.36
35,7.47,9.08,3.83,3.71,7.68,7.32,8.71,7.94,11.6,9.18,1669,752,917,45.06,0,75,125,0.24
36,8.04,8.73,3.76,3.9,7.85,7.26,8.82,8.54,11.75,8.89,1713,770,943,44.95,0,70,130,0.27
37,7.9,8.73,3.94,4.09,8.19,7.67,8.45,8.17,11.46,9.35,1766,784,982,44.39,0,62,138,0.3
38,8.39,9.22,4.2,4.12,8.66,7.51,8.68,8.53,12.58,9.32,1818,798,1020,43.89,0,62,138,0.33
39,8.32,9.24,4.36,4.33,8.47,7.36,9.7,9.08,12.37,9.86,1876,813,1063,43.34,0,56,144,0.35
40,8.59,9.75,4.44,4.37,8.63,7.45,9.42,8.99,12.94,10.07,1932,828,1104,42.86,0,49,151,0.22
