cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0.13,0,0.24,0,0,0.69,0,0.88,98,81,17,82.65,0,200,0,0.19
3,0,0.49,0.27,0,0.24,0,0.14,0.42,0.18,1.75,138,114,24,82.61,0,200,0,0.26
4,0,0.65,0.54,0.1,0.37,0.15,0.13,0.13,0.18,2.03,193,162,31,83.94,0,194,6,0.34
5,0.19,0.74,0.6,0.21,1.06,0.42,0.27,0.55,0,2.73,244,192,52,78.69,0,192,8,0.4
6,0.29,1.3,0.75,0.42,1.41,0.28,0.27,0.63,0.17,2.68,299,235,64,78.6,0,189,11,0.45
7,0.51,1.53,1.08,0.39,1.58,0.59,0.36,1.22,0.37,2.86,344,266,78,77.33,0,191,9,0.49
8,0.55,2.33,1.3,0.61,1.64,0.54,0.37,1.34,0.52,3,393,300,93,76.34,0,184,16,0.53
9,0.66,2.4,1.47,0.66,2.17,1.05,0.52,1.3,0.88,3.89,447,331,116,74.05,0,180,20,0.55
10,0.77,2.38,1.64,1.09,2.2,1.09,0.52,1.71,1.03,4.57,500,365,135,73,0,179,21,0.48
11,1.02,3.24,1.97,1.13,2.41,1.99,0.49,1.84,1.32,4.89,554,394,160,71.12,0,176,24,0.5
12,1.05,3.35,2.09,1.22,2.64,2.07,0.66,2.08,1.48,4.1,608,434,174,71.38,0,171,29,0.53
13,1.16,3.38,2.17,1.24,2.9,2.29,0.59,2.47,1.55,4.12,648,458,190,70.68,0,168,32,0.54
14,1.39,3.89,2.31,1.74,3.47,2.91,0.82,2.59,1.78,5.41,697,489,208,70.16,0,178,22,0.56
15,1.36,3.85,2.44,1.69,3.23,2.69,1.1,2.41,1.98,4.45,741,521,220,70.31,0,166,34,0.44
16,1.38,3.55,2.71,2.06,2.94,3.14,1.08,1.93,2.3,4.14,784,546,238,69.64,0,147,53,0.47
17,1.58,3.72,2.67,2.34,3.5,3.55,1.21,2.88,2.74,4.81,825,571,254,69.21,0,160,40,0.49
18,1.63,3.6,3.08,2.14,3.3,3.4,1.22,2.96,2.85,5.16,867,596,271,68.74,0,147,53,0.5
19,1.6,3.73,3.39,2.25,3.28,3.49,1.33,3.48,3.26,5.41,908,624,284,68.72,0,152,48,0.51
20,1.78,4.14,3.55,2.61,3.61,3.65,1.53,4.2,3.56,5.45,963,645,318,66.98,0,149,51,0.4
21,2.05,5.14,3.69,2.35,3.35,3.34,1.45,4.09,3.94,5.62,1003,667,336,66.5,0,140,60,0.43
22,2.09,5.15,3.59,2.28,3.94,3.32,1.42,4.39,3.45,5.7,1049,694,355,66.16,0,132,68,0.45
23,2.46,5.9,3.76,2.6,3.58,3.44,1.64,4.69,4.1,6.37,1100,717,383,65.18,0,129,71,0.46
24,2.92,5.78,3.92,2.97,4.61,3.96,1.61,4.69,4.4,6.61,1151,736,415,63.94,0,132,68,0.48
25,2.98,6.84,4.52,2.94,4.59,3.78,1.56,4.82,4.34,6.48,1198,762,436,63.61,0,129,71,0.37
26,2.97,7.17,4.46,3.07,5.85,4.33,1.58,4.9,4.19,6.41,1248,782,466,62.66,0,124,76,0.4
27,3.17,6.74,4.49,3.33,5.82,4.74,1.56,5.25,4.05,6.71,1310,816,494,62.29,0,110,90,0.42
28,3.43,7.2,4.77,3.83,6.37,4.82,1.74,5.74,5.07,7.19,1360,840,520,61.76,0,123,77,0.44
29,3.33,7.11,4.67,3.39,6.58,4.49,1.54,5.66,4.52,8.23,1402,856,546,61.06,0,109,91,0.45
30,3.26,7.73,4.42,3.54,6.45,5.01,1.48,5.78,4.6,7.48,1444,875,569,60.6,0,99,101,0.34
31,3.25,8.23,5.12,3.87,6.54,4.94,1.63,6.74,5.4,8.95,1488,897,591,60.28,0,109,91,0.37
32,3.62,7.91,5.26,3.64,6.74,5.19,1.57,6.46,4.97,8.31,1527,909,618,59.53,0,95,105,0.4
33,3.73,8.33,5.14,3.92,6.92,5.93,1.55,6.49,4.69,9.13,1581,939,642,59.39,0,95,105,0.42
34,3.89,8.66,5.39,3.99,7.36,5.17,1.43,6.39,4.99,9.34,1631,961,670,58.92,0,85,115,0.43
35,3.82,8.55,5.17,4.5,6.93,6.41,1.63,6.65,5.02,9.63,1675,987,688,58.93,0,86,114,0.32
36,3.79,8.73,5.44,4.49,7.21,6.04,1.59,7.01,5.34,9.68,1722,1008,714,58.54,0,85,115,0.35
37,4.09,9.44,5.81,4.48,7.24,6.04,1.48,7.14,5.16,9.22,1773,1032,741,58.21,0,78,122,0.38
38,4.14,9.64,5.75,4.56,7.34,6.31,1.41,7.23,5.29,9.17,1820,1053,767,57.86,0,69,131,0.4
39,4.46,9.88,6.02,4.55,7.35,6.47,1.41,7.46,6.1,9.69,1870,1083,787,57.91,0,73,127,0.42
40,4.5,9.92,5.9,4.79,7.54,6.55,1.41,7.92,5.71,9.71,1927,1110,817,57.6,0,66,134,0.3
