cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.25,0,0.11,0,0,0,0,0.27,46,41,5,89.13,0,200,0,0.09
2,0.1,0.47,0,0,0.11,0.15,0,0.55,0,0.82,96,80,16,83.33,0,200,0,0.18
3,0.1,0.62,0,0,0.11,0.15,0,0.28,0.18,1.63,136,114,22,83.82,0,200,0,0.26
4,0.1,0.78,0,0.35,0.1,0.27,0,0,0.36,1.93,192,163,29,84.9,0,194,6,0.33
5,0.18,0.94,0.12,0.57,0.51,0.42,0.14,0.4,0.18,2.15,241,196,45,81.33,0,190,10,0.39
6,0.37,1.12,0.36,0.78,0.85,0.28,0.14,0.65,0.33,2.4,294,235,59,79.93,0,188,12,0.44
7,0.57,1.52,0.49,0.68,0.43,0.59,0.26,1.17,0.5,2.45,339,271,68,79.94,0,190,10,0.48
8,0.44,1.87,0.75,0.83,0.69,0.8,0.26,1.24,0.5,2.42,384,302,82,78.65,0,177,23,0.52
9,0.54,2.28,0.95,0.87,1.09,1.04,0.36,1.1,0.7,3.33,432,333,99,77.08,0,180,20,0.54
10,0.7,2.46,1.15,1.06,1.39,1.05,0.4,1.64,0.75,3.63,479,360,119,75.16,0,177,23,0.47
11,0.96,3.11,1.17,1.18,1.57,1.62,0.49,1.59,1.25,3.45,529,389,140,73.53,0,174,26,0.49
12,0.92,3.44,1.48,1.36,2,1.9,0.78,2.06,1.38,4.32,585,421,164,71.97,0,175,25,0.52
13,1.09,3.25,1.36,1.34,2.36,2.16,0.7,2.56,1.61,4.52,628,444,184,70.7,0,167,33,0.53
14,1.34,3.27,1.6,1.67,2.43,2.59,0.97,2.63,1.83,4.38,675,473,202,70.07,0,170,30,0.54
15,1.63,3.18,1.67,1.64,2.53,2.31,1.04,2.38,1.87,4.03,724,510,214,70.44,0,154,46,0.43
16,1.72,3.24,1.64,1.85,2.26,2.35,1.24,2.57,1.81,3.85,762,536,226,70.34,0,146,54,0.46
17,2.01,2.92,1.85,2.2,2.88,2.82,1.2,2.85,1.91,4.19,803,558,245,69.49,0,151,49,0.47
18,1.83,3.21,2.24,2.06,3.02,2.61,1.42,2.82,2.06,4.88,842,583,259,69.24,0,143,57,0.49
19,2.17,3.72,2.42,2.05,2.61,2.63,1.33,3.78,2.32,4.89,878,598,280,68.11,0,138,62,0.5
20,2.01,4.09,2.55,2.19,3.25,2.82,1.34,3.98,2.84,5.24,932,620,312,66.52,0,134,66,0.38
21,2.32,4.45,2.36,2.57,3.24,2.52,1.23,4.31,2.98,6.69,972,638,334,65.64,0,127,73,0.4
22,2.46,4.91,2.89,2.28,2.98,2.76,1.38,4.07,2.9,6.09,1015,667,348,65.71,0,124,76,0.42
23,2.5,5.08,2.83,2.56,3.27,3.07,1.34,4.42,3.09,5.26,1067,692,375,64.85,0,109,91,0.44
24,2.62,5.71,2.72,2.91,3.9,2.8,1.28,4.46,3.64,5.55,1112,716,396,64.39,0,114,86,0.45
25,2.64,5.72,2.9,3,3.83,2.73,1.31,5.02,4.03,6.03,1147,734,413,63.99,0,109,91,0.33
26,2.94,5.66,2.88,2.79,4.33,3.08,1.46,5.16,3.75,5.36,1193,755,438,63.29,0,99,101,0.36
27,3.07,6.34,3.25,3.3,5.06,3.87,1.61,5.06,4.1,5.66,1245,782,463,62.81,0,111,89,0.38
28,3.15,6.28,3.38,3.22,5.08,4.23,1.54,4.83,4.43,6.22,1290,799,491,61.94,0,101,99,0.4
29,3.84,7.13,3.99,3.59,5.38,4.62,1.66,5.85,4.43,7.07,1336,817,519,61.15,0,116,84,0.41
30,4.06,7.91,3.61,3.51,5.32,3.84,1.66,5.84,4.38,6.9,1385,836,549,60.36,0,98,102,0.29
31,3.99,7.82,3.78,3.62,5.31,4.01,1.78,5.64,4.66,7.25,1420,853,567,60.07,0,95,105,0.32
32,3.74,7.45,4.19,4.23,5.52,3.99,1.86,6.42,4.68,7.12,1472,876,596,59.51,0,90,110,0.34
33,4.05,8.65,3.94,4.04,5.38,4.2,1.89,5.98,4.89,7.84,1517,889,628,58.6,0,77,123,0.36
34,4.2,8.43,4.24,4.48,5.83,4.14,2.04,6.54,4.74,7.64,1561,910,651,58.3,0,75,125,0.38
35,4.3,8.43,4.46,4.53,5.76,4.55,2.01,6.88,5.17,7.56,1608,931,677,57.9,0,75,125,0.25
36,4.25,8.78,4.51,4.15,5.9,4.64,2,7.18,5.12,7.75,1650,945,705,57.27,0,65,135,0.29
37,4.54,9.36,4.67,4.38,5.92,4.65,2.04,7.1,5.33,8,1699,964,735,56.74,0,64,136,0.32
38,4.31,9.06,4.55,4.42,6.25,5.03,2.03,6.99,5.53,7.98,1746,988,758,56.59,0,53,147,0.34
39,4.39,9.66,4.77,4.66,6.67,5.18,2.25,7.46,5.77,8.46,1799,1011,788,56.2,0,59,141,0.36
40,4.33,9.57,4.91,4.77,6.63,5.33,2.34,7.61,5.63,8.74,1849,1032,817,55.81,0,50,150,0.23
