cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0,0,0,0,0,0,0,0.43,22,20,2,90.91,100,100,0,0.05
2,0,0,0.2,0,0.43,0.22,0,0,0,0.43,45,39,6,86.67,100,100,0,0.11
3,0.18,0.92,0.2,0,0.43,0.43,0,0.65,0,0.86,80,64,16,80,100,100,0,0.17
4,0.36,1.23,0.2,0,0.43,0.22,0,0.22,0.26,0.86,97,81,16,83.51,100,100,0,0.23
5,0.36,1.85,0.2,0.17,0.86,0.21,0,0,0,1.5,130,108,22,83.08,100,98,2,0.3
6,0.34,1.46,0.39,0,0.63,0,0,0,0,1.71,144,124,20,86.11,100,98,2,0.34
7,0.36,1.76,0.39,0,1.25,0.22,0,0.41,0,2.15,172,142,30,82.56,100,97,3,0.39
8,0.51,2.16,0.58,0.17,1.49,0.2,0.22,0.2,0.22,1.94,201,165,36,82.09,100,93,7,0.42
9,0.51,1.85,0.59,0.34,1.71,0.6,0.22,0.34,0.26,1.95,225,185,40,82.22,100,93,7,0.45
10,0.79,1.22,0.8,0.32,1.74,0.39,0.2,0.38,0.42,1.86,247,205,42,83,100,88,12,0.42
11,0.67,2,0.75,0.47,1.74,0.7,0.2,0.65,0.41,1.99,272,223,49,81.99,100,88,12,0.46
12,0.8,2.01,1.12,0.5,1.13,0.95,0.22,0.77,0.42,3,294,240,54,81.63,100,92,8,0.48
13,0.97,2.33,1.54,0.61,1.33,1.69,0.19,0.9,0.68,3.08,321,255,66,79.44,100,88,12,0.51
14,1.19,2.04,1.22,0.63,1.39,1.37,0.21,1.44,1.06,3.53,337,264,73,78.34,100,87,13,0.53
15,1.19,2.79,1.26,0.58,1.77,1.8,0.4,1.11,1.21,3.83,367,282,85,76.84,100,82,18,0.45
16,1.21,2.67,1.61,0.94,2.23,1.89,0.39,1.44,1.42,3.69,392,296,96,75.51,100,81,19,0.48
17,1.38,3.44,1.4,1,3.09,2.2,0.6,1.5,1.89,4.1,422,314,108,74.41,100,84,16,0.51
18,1.46,3.6,1.46,0.9,3.25,2.15,0.6,2.22,1.58,4.25,444,323,121,72.75,100,74,26,0.53
19,1.61,3.78,1.58,0.87,3.19,2.33,0.84,2.24,1.39,4.6,465,338,127,72.69,100,75,25,0.55
20,1.77,4.32,1.57,1.09,3.25,2.37,0.75,3.1,1.8,3.88,478,347,131,72.59,100,75,25,0.45
21,2.1,2.84,1.76,1.25,3.49,2.87,1,2.7,2.13,3.96,499,360,139,72.14,100,74,26,0.48
22,2.12,3.35,1.91,1.29,3.75,3.66,0.94,2.9,1.99,4.15,516,367,149,71.12,100,73,27,0.5
23,2.23,4.17,2.03,1.48,3.33,3.36,0.96,3.12,2.3,3.96,539,377,162,69.94,100,69,31,0.52
24,2.37,4.31,2.02,1.57,4.16,4.03,1.04,3.5,2.58,4.71,560,390,170,69.64,100,73,27,0.53
25,2.74,4.28,2.54,1.58,5.09,3.87,1.17,3.42,2.55,4.78,581,397,184,68.33,100,75,25,0.43
26,2.57,3.31,2.53,1.68,4.42,3.89,1.13,4.08,2.27,4.65,602,407,195,67.61,100,64,36,0.46
27,2.79,4.65,2.62,1.52,4.74,4.13,1.17,3.77,2.31,5.42,624,416,208,66.67,100,64,36,0.48
28,3.12,6.5,2.87,1.65,5.23,4.29,1.13,4.15,2.64,5.32,654,427,227,65.29,100,65,35,0.51
29,3.01,6.7,3.05,1.46,5.59,4.46,1.17,4.46,2.84,5.52,674,433,241,64.24,100,60,40,0.52
30,3.16,6.27,3.12,1.43,5.75,4.73,1.16,4.08,3.17,6.23,694,445,249,64.12,100,59,41,0.42
31,3.19,7.51,3.21,1.71,5.54,4.57,1.31,4.08,3.69,6.62,721,461,260,63.94,100,57,43,0.45
32,3.43,7.52,3.18,1.89,5.62,4.18,1.31,4.59,3.1,6.5,744,472,272,63.44,100,53,47,0.48
33,3.64,7.76,3.59,2.08,6.49,4.24,1.31,4.64,2.93,5.99,763,479,284,62.78,100,51,49,0.5
34,3.64,7.2,3.54,2.25,6.42,4.54,1.44,4.51,3.02,6.92,779,487,292,62.52,100,53,47,0.52
35,4.12,7.79,3.34,2.24,6.74,4.92,1.31,4.73,3.24,6.69,799,496,303,62.08,100,51,49,0.41
36,4.09,7.79,3.5,2.37,7.13,4.81,1.54,5.04,3.48,7.28,823,505,318,61.36,100,50,50,0.44
37,3.98,7.59,3.66,2.45,7.39,5.72,1.54,5.27,3.75,7.22,846,514,332,60.76,100,50,50,0.47
38,4.06,7.79,3.66,2.66,7.86,6.03,1.5,5.24,3.61,7.52,872,529,343,60.67,100,48,52,0.49
39,4.2,7.79,3.82,2.83,7.23,5.66,1.69,5.5,3.53,7.45,897,546,351,60.87,100,45,55,0.51
40,4.31,8.18,3.98,2.78,7.36,5.94,1.69,5.5,3.53,7.84,918,556,362,60.57,100,43,57,0.41
