cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0,0,0,0,0,0,0,0,11,11,0,100,0,200,0,0.02
2,0,0,0,0,0,0,0,0,0,0,15,15,0,100,0,200,0,0.04
3,0,0,0,0,0,0,0,0,0,0,22,22,0,100,0,199,1,0.06
4,0,0,0,0,0,0,0,0,0,0,28,28,0,100,0,200,0,0.08
5,0,0,0,0,0,0.15,0,0,0,0,37,36,1,97.3,0,197,3,0.13
6,0,0,0,0,0,0.15,0,0,0,0,47,46,1,97.87,0,197,3,0.16
7,0.1,0,0,0,0,0.14,0,0,0,0.28,60,56,4,93.33,0,196,4,0.19
8,0.1,0,0,0,0,0.14,0,0,0,0.14,70,67,3,95.71,0,194,6,0.22
9,0.19,0,0,0.11,0,0.14,0,0,0,0.14,84,79,5,94.05,0,190,10,0.26
10,0.2,0,0,0.22,0,0.15,0,0,0,0.27,94,87,7,92.55,0,191,9,0.3
11,0.31,0,0,0.21,0,0.13,0,0,0,0.24,102,94,8,92.16,0,185,15,0.32
12,0.29,0,0,0.21,0.11,0.14,0,0,0.17,0.28,105,95,10,90.48,0,187,13,0.35
13,0.28,0,0,0.21,0.1,0.14,0,0,0.17,0.27,115,105,10,91.3,0,182,18,0.37
14,0.29,0,0.13,0.21,0.1,0.13,0,0,0.18,0.28,126,115,11,91.27,0,187,13,0.39
15,0.27,0,0.13,0.21,0.1,0.15,0,0,0.18,0.26,133,122,11,91.73,0,180,20,0.42
16,0.3,0,0.12,0.31,0.11,0.13,0,0,0.17,0.25,137,125,12,91.24,0,179,21,0.44
17,0.29,0.13,0.13,0.31,0.1,0.13,0,0,0.18,0.25,144,131,13,90.97,0,181,19,0.45
18,0.39,0.15,0.13,0.31,0.1,0.14,0,0,0.18,0.41,155,140,15,90.32,0,184,16,0.47
19,0.48,0.14,0.13,0.32,0.1,0.27,0,0.12,0.18,0.37,173,155,18,89.6,0,178,22,0.49
20,0.56,0.14,0.12,0.31,0.1,0.23,0,0.12,0.14,0.4,182,163,19,89.56,0,173,27,0.51
21,0.51,0.12,0.24,0.39,0.18,0.25,0,0.11,0.16,0.37,188,166,22,88.3,0,163,37,0.52
22,0.54,0.12,0.24,0.39,0.18,0.21,0,0.21,0.15,0.36,198,175,23,88.38,0,155,45,0.53
23,0.55,0.13,0.38,0.39,0.42,0.25,0,0.21,0.14,0.35,213,187,26,87.79,0,167,33,0.54
24,0.75,0.25,0.35,0.39,0.45,0.21,0,0.21,0.28,0.39,225,194,31,86.22,0,157,43,0.55
25,0.72,0.26,0.35,0.39,0.54,0.24,0,0.24,0.43,0.35,235,202,33,85.96,0,160,40,0.56
26,0.73,0.23,0.34,0.39,0.63,0.23,0,0.22,0.43,0.47,244,209,35,85.66,0,155,45,0.57
27,0.7,0.35,0.34,0.37,0.68,0.22,0,0.22,0.42,0.47,253,216,37,85.38,0,152,48,0.58
28,0.65,0.36,0.46,0.36,0.63,0.21,0,0.21,0.58,0.55,263,223,40,84.79,0,143,57,0.58
29,0.76,0.34,0.45,0.37,0.63,0.3,0,0.19,0.56,0.55,274,232,42,84.67,0,140,60,0.59
30,0.84,0.35,0.48,0.35,0.73,0.31,0,0.21,0.55,0.64,281,236,45,83.99,0,141,59,0.59
31,0.79,0.46,0.44,0.36,0.69,0.42,0,0.19,0.56,0.7,289,241,48,83.39,0,137,63,0.6
32,0.76,0.45,0.44,0.36,0.78,0.39,0,0.2,0.55,0.76,302,252,50,83.44,0,132,68,0.6
33,0.83,0.45,0.44,0.34,0.75,0.47,0,0.19,0.53,0.84,307,256,51,83.39,0,130,70,0.6
34,0.8,0.56,0.45,0.35,0.77,0.49,0,0.19,0.5,0.91,315,262,53,83.17,0,133,67,0.61
35,0.8,0.57,0.45,0.34,0.75,0.48,0,0.2,0.51,0.93,324,269,55,83.02,0,126,74,0.61
36,0.89,0.7,0.46,0.36,0.81,0.47,0,0.19,0.63,1.02,336,276,60,82.14,0,127,73,0.61
37,0.85,0.63,0.43,0.42,0.8,0.58,0,0.27,0.62,0.99,350,287,63,82,0,116,84,0.61
38,0.85,0.62,0.54,0.51,0.88,0.65,0,0.26,0.6,1.06,361,293,68,81.16,0,114,86,0.62
39,0.83,0.72,0.52,0.49,0.92,0.65,0,0.27,0.6,1.15,368,297,71,80.71,0,111,89,0.62
40,0.83,0.82,0.52,0.49,0.99,0.65,0,0.35,0.6,1.13,378,304,74,80.42,0,109,91,0.62
