cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0.96,3.4,0,100,0,0,0,0,100,0,10,5,5,50,180,20,0,0.01
2,0.96,3.4,0.67,100,4.22,1.21,0,0,0,0,18,10,8,55.56,180,20,0,0.03
3,0.96,5.11,0,0,6.33,1.21,0,0,0,0,20,12,8,60,180,20,0,0.04
4,0.96,5.11,0,0,6.33,1.21,0,0,0,0.65,25,16,9,64,180,20,0,0.05
5,0.96,6.81,0,100,8.44,1.21,0,0,0,1.29,34,21,13,61.76,180,20,0,0.06
6,0.96,5.11,0,0,8.44,1.21,0,0,0,1.94,37,25,12,67.57,180,20,0,0.06
7,0.96,5.11,0,0,8.44,1.21,0,4.23,0,2.59,46,31,15,67.39,180,20,0,0.08
8,0.96,5.11,0,0,8.44,1.21,0,4.23,0,2.59,46,31,15,67.39,180,20,0,0.08
9,0.96,5.11,0,0,8.44,1.21,0,4.23,0,3.24,50,34,16,68,180,20,0,0.08
10,1.91,5.11,0,0,8.44,1.21,0,4.23,0,3.24,55,38,17,69.09,180,20,0,0.09
11,1.91,5.11,0,0,8.44,1.21,0,4.23,0,3.88,56,38,18,67.86,180,20,0,0.09
12,1.91,6.81,0,0,12.66,1.21,0,4.23,0,3.88,63,42,21,66.67,180,20,0,0.1
13,2.87,5.11,0,0,12.66,1.21,0,4.23,0,3.88,68,47,21,69.12,180,20,0,0.1
14,1.91,5.11,0,0,12.66,1.21,0,6.35,0,3.88,73,52,21,71.23,180,20,0,0.11
15,0.96,5.11,0,0,12.66,1.21,0,4.23,0,3.88,76,57,19,75,180,20,0,0.11
16,1.91,5.11,0,0,12.66,1.21,0,4.23,0,3.88,80,60,20,75,180,20,0,0.11
17,1.91,5.11,0,0,12.66,1.21,0,4.23,0,3.88,81,61,20,75.31,180,20,0,0.11
18,1.91,5.11,0,0,12.66,1.21,0,4.23,0,3.88,83,63,20,75.9,180,20,0,0.11
19,1.91,5.11,0,0,12.66,1.21,0,6.35,0,4.53,87,65,22,74.71,180,20,0,0.12
20,1.91,5.11,0,0,12.66,1.21,0,4.23,0,4.53,91,70,21,76.92,180,20,0,0.12
21,1.91,5.11,0,0,12.66,1.21,0,4.23,100,4.53,94,72,22,76.6,180,20,0,0.12
22,1.54,5.11,0,0,12.66,1.21,0,4.23,0,4.28,96,74,22,77.08,180,19,1,0.12
23,1.54,5.11,0,0,14.77,1.21,0,4.23,0,4.28,98,75,23,76.53,180,19,1,0.12
24,1.91,5.11,0,0,16.88,1.21,0,4.23,100,5.83,103,77,26,74.76,180,20,0,0.13
25,2.87,5.11,0,0,18.99,1.21,0,4.23,100,5.83,109,81,28,74.31,180,20,0,0.13
26,2.87,6.81,0,0,18.99,1.21,0,4.23,100,6.47,113,83,30,73.45,180,20,0,0.14
27,2.32,6.81,0,0,18.99,1.21,0,4.23,0,5.35,114,85,29,74.56,180,19,1,0.14
28,2.87,6.81,0,0,18.99,1.21,0,4.23,0,6.47,116,87,29,75,180,20,0,0.14
29,2.87,6.81,0,0,18.99,1.21,0,4.23,0,6.47,117,88,29,75.21,180,20,0,0.14
30,2.32,6.81,0,0,18.99,2.42,0,4.23,0,5.35,121,91,30,75.21,180,19,1,0.15
31,2.32,6.81,0,0,18.99,1.21,0,6.35,0,5.35,123,93,30,75.61,180,19,1,0.15
32,2.32,6.81,0,100,18.99,1.21,0,6.35,0,5.35,127,96,31,75.59,180,19,1,0.15
33,2.32,6.81,0,0,18.99,1.21,0,6.35,0,5.35,130,100,30,76.92,180,19,1,0.15
34,2.32,6.81,0,0,21.1,1.21,0,6.35,0,5.35,132,101,31,76.52,180,19,1,0.15
35,3.09,6.81,0,0,21.1,1.21,0,6.35,0,5.35,133,101,32,75.94,180,19,1,0.15
36,3.09,10.21,0,0,21.1,1.21,0,6.35,0,5.35,137,103,34,75.18,180,19,1,0.15
37,3.09,10.21,0,0,21.1,1.21,0,6.35,0,5.35,138,104,34,75.36,180,19,1,0.16
38,3.09,10.21,0,0,21.1,1.21,0,6.35,0,5.35,139,105,34,75.54,180,19,1,0.16
39,3.09,10.21,0,0,21.1,1.21,0,6.35,0,5.35,141,107,34,75.89,180,19,1,0.16
40,3.09,10.21,0,0,21.1,1.21,0,8.47,0,5.35,143,108,35,75.52,180,19,1,0.16
