cycle,programacion:presion,reparacion:presion,asesoria-juridica:presion,diseno:presion,mediacion:presion,investigacion:presion,traduccion:presion,fabricacion:presion,soporte-tecnico:presion,salud-y-cuidado:presion,demandaTotal,demandaSatisfecha,demandaInsatisfecha,pctSatisfecha,accesoBasico,accesoMedio,accesoAvanzado,cuGini
1,0,0,0.27,0,0.12,0,0,0,0,0.29,47,42,5,89.36,0,200,0,0.1
2,0,0.49,0,0,0,0,0,0.55,0,0.88,98,85,13,86.73,0,200,0,0.2
3,0.1,0.49,0,0,0,0,0,0.28,0.18,1.67,136,117,19,86.03,0,199,1,0.28
4,0.1,0.6,0,0.11,0,0.31,0,0,0.18,2.19,193,168,25,87.05,0,194,6,0.35
5,0.2,0.68,0,0,0.55,0.42,0,0.27,0,2.77,244,208,36,85.25,0,189,11,0.41
6,0.19,0.73,0.13,0,0.81,0.29,0,0.38,0,2.89,297,256,41,86.2,0,187,13,0.46
7,0.3,1.2,0.13,0,0.74,0.27,0,0.69,0.17,3.01,343,294,49,85.71,0,186,14,0.49
8,0.16,1.59,0.23,0.3,0.5,0.68,0,0.6,0.17,2.72,387,331,56,85.53,0,174,26,0.52
9,0.18,1.61,0.25,0.41,0.81,1.06,0.13,0.27,0.32,2.79,433,367,66,84.76,0,175,25,0.53
10,0.25,1.72,0.36,0.51,1.46,0.89,0.11,0.47,0.48,3.05,483,404,79,83.64,0,165,35,0.46
11,0.25,1.9,0.36,0.54,1.53,1.43,0.12,0.38,0.82,3.28,531,443,88,83.43,0,167,33,0.48
12,0.24,2.02,0.34,0.64,1.72,1.19,0.37,0.78,0.85,3.31,583,487,96,83.53,0,166,34,0.5
13,0.36,2.03,0.41,0.76,1.9,1.12,0.36,1.08,0.82,3.12,624,520,104,83.33,0,161,39,0.5
14,0.35,1.75,0.46,0.81,1.88,1.45,0.36,1.34,0.86,2.88,665,555,110,83.46,0,159,41,0.51
15,0.57,1.88,0.74,0.97,1.8,1.86,0.42,1.01,1.17,3.28,709,587,122,82.79,0,156,44,0.39
16,0.68,2.14,0.88,0.89,2.03,2.15,0.43,1.14,1.4,2.7,758,621,137,81.93,0,141,59,0.41
17,0.77,2.02,0.83,1.07,1.95,2.22,0.41,1.52,1.32,2.54,790,651,139,82.41,0,137,63,0.43
18,0.88,2.46,1.22,0.98,1.92,2.04,0.6,1.5,1.23,2.2,826,679,147,82.2,0,131,69,0.44
19,0.93,2.7,1.07,1.29,2.08,2.12,0.56,1.85,1.51,2.5,872,705,167,80.85,0,127,73,0.45
20,1.18,3.12,1.14,1.22,2.43,2.35,0.68,1.86,2,2.14,920,734,186,79.78,0,123,77,0.32
21,1.43,3.16,1.24,1.37,2.14,2.48,0.62,2.21,1.97,2.26,961,756,205,78.67,0,109,91,0.35
22,1.8,3.57,1.51,1.27,2.27,2.57,0.71,2.27,2.14,2.48,1011,792,219,78.34,0,109,91,0.37
23,1.92,4.79,1.39,1.63,3.21,2.64,0.79,2.22,2.7,2.43,1056,812,244,76.89,0,119,81,0.39
24,2.01,4.64,1.56,1.81,2.91,3.12,0.81,2.97,2.73,2.14,1103,837,266,75.88,0,104,96,0.4
25,2.33,4.7,1.74,1.75,3.75,3.43,0.94,3.16,2.67,2.54,1146,856,290,74.69,0,108,92,0.26
26,2.13,4.77,1.83,1.65,3.8,3.71,1.17,3.04,2.88,2.8,1201,893,308,74.35,0,100,100,0.3
27,2.44,5.37,2.18,1.8,4.03,3.56,1.14,3.24,2.75,2.89,1246,919,327,73.76,0,101,99,0.33
28,2.48,4.58,2.22,1.8,4.88,3.8,1.44,3.22,3.15,3.04,1286,942,344,73.25,0,94,106,0.35
29,2.41,4.73,2.15,1.98,4.32,3.75,1.21,2.91,3.05,3.41,1329,965,364,72.61,0,76,124,0.37
30,2.48,4.98,2.45,2.26,4.91,4.08,1.28,3.51,3.43,3.54,1362,981,381,72.03,0,86,114,0.22
31,2.6,4.78,2.49,2.31,4.97,4.69,1.3,3.65,3.11,3.81,1412,1009,403,71.46,0,77,123,0.27
32,2.54,5.19,2.54,2.4,4.59,4.46,1.32,3.84,3.18,4.01,1464,1033,431,70.56,0,56,144,0.3
33,2.82,4.89,2.64,2.63,4.95,4.92,1.35,3.98,3.2,4.33,1510,1060,450,70.2,0,62,138,0.33
34,2.93,4.87,2.8,2.63,4.87,5.04,1.33,4.41,3.58,4.85,1556,1082,474,69.54,0,61,139,0.34
35,3.13,5.4,3.04,2.81,5.53,4.92,1.26,4.38,3.54,4.8,1605,1104,501,68.79,0,51,149,0.19
36,3.06,5.56,2.99,2.81,5.24,5.01,1.24,4.64,3.48,5.24,1655,1125,530,67.98,0,40,160,0.24
37,3.01,5.56,3.06,2.95,5.44,5.22,1.34,4.86,3.47,5.26,1700,1160,540,68.24,0,42,158,0.28
38,3.16,6.56,3.1,3.04,5.6,5.42,1.54,4.94,3.46,5.41,1755,1190,565,67.81,0,42,158,0.31
39,3.2,6.3,3.13,3.12,5.92,5.5,1.53,5.11,3.63,5.77,1811,1219,592,67.31,0,33,167,0.33
40,3.22,6.47,3.2,3.19,5.79,5.7,1.61,5.34,3.53,5.91,1848,1239,609,67.05,0,30,170,0.17
